event_complement,event_complement_id,relation_id
oficina de empleo,argument0699,duty0005
acta de escrutinio,argument0129,duty0006
acta de escrutinio,argument0129,duty0007
acta de escrutinio,argument0129,duty0008
medidas legales y reglamentarias de seguridad y salud en el trabajo,argument0637,duty0010
"ante el órgano público de mediación, arbitraje y conciliación competente",argument0151,duty0016
registro de jornada,argument0823,duty0034
modificaciones sustanciales de las condiciones de trabajo,argument0656,duty0035
Horario y distribución del tiempo de trabajo,argument0043,duty0036
cuantía de tales gratificaciones,argument0328,duty0040
causa derivada de fuerza mayor,argument0199,duty0041
horas complementarias,argument0512,duty0042
conflicto colectivo relativo a la interpretación o aplicación del convenio,argument0264,duty0043
el recibo individual de salarios,argument0434,duty0044
los documentos de cotización a la Seguridad Social,argument0611,duty0045
censo laboral,argument0210,duty0047
aportaciones,argument0157,duty0048
buque,argument0182,duty0049
residencia,argument0858,duty0050
obligaciones laborales,argument0694,duty0051
criterios y sistemas,argument0319,duty0058
centro de trabajo,argument0211,duty0067
preavisos,argument0767,duty0069
derecho de todos los legitimados,argument0361,duty0072
proporción a su representatividad,argument0790,duty0073
conjunto de los trabajadores,argument0266,duty0074
defensa de sus intereses,argument0345,duty0075
protección regulada en este artículo,argument0793,duty0076
créditos impagados de los trabajadores,argument0321,duty0077
declaración de insolvencia,argument0344,duty0090
mesa,argument0642,duty0091
reglas,argument0830,duty0094
trabajo en prácticas,argument0952,duty0096
resúmenes mensuales,argument0867,duty0098
registros de jornada,argument0828,duty0099
las obligaciones recíprocas de trabajar y remunerar el trabajo,argument0584,duty0100
otros de la misma provincia,argument0716,duty0101
contrato de trabajo,argument0286,duty0105
salarios,argument0881,duty0106
importe,argument0516,duty0107
prestaciones por desempleo,argument0773,duty0108
periodo de suspensión,argument0741,duty0109
reintegro,argument0834,duty0110
importe de dichas prestaciones,argument0517,duty0111
contrato de trabajo,argument0286,duty0112
salarios,argument0881,duty0113
importe,argument0516,duty0114
prestaciones por desempleo,argument0773,duty0115
periodo de suspensión,argument0741,duty0116
reintegro,argument0834,duty0117
importe de dichas prestaciones,argument0517,duty0118
tramitación de las acciones individuales,argument0957,duty0119
tres días hábiles,argument0963,duty0120
comparecencia,argument0237,duty0121
pruebas,argument0796,duty0122
personación en el centro de trabajo,argument0752,duty0123
solicitud de la colaboración necesaria del empresario y las Administraciones Públicas,argument0900,duty0124
comunicación escrita,argument0248,duty0125
fecha,argument0497,duty0126
hechos,argument0511,duty0127
Copia de la comunicación dirigida a los trabajadores o a sus representantes por la dirección de la empresa de su intención de iniciar el procedimiento de despido colectivo,argument0007,duty0131
pago de las prestaciones,argument0720,duty0132
número de horas ordinarias de trabajo,argument0683,duty0135
centro de trabajo,argument0211,duty0136
prioridades de permanencia,argument0775,duty0141
otros colectivos,argument0715,duty0142
trabajadores con cargas familiares,argument0937,duty0143
mayores de determinada edad,argument0630,duty0144
personas con discapacidad,argument0756,duty0145
derecho,argument0358,duty0147
duración,argument0410,duty0148
régimen,argument0874,duty0149
otro progenitor,argument0713,duty0150
reserva de puesto de trabajo,argument0857,duty0151
máximo de dieciocho meses,argument0663,duty0152
en el acta,argument0463,duty0153
libro registro,argument0597,duty0165
trabajo convenido,argument0951,duty0178
dirección del empresario,argument0389,duty0179
persona en quien este delegue,argument0750,duty0180
elecciones,argument0437,duty0181
elecciones,argument0437,duty0182
acta de la sesión constitutiva de la comisión,argument0130,duty0183
existencia de puestos de trabajo vacantes,argument0488,duty0184
salarios devengados en los días intermedios,argument0882,duty0185
certificado de los contratos de duración determinada o temporales celebrados,argument0214,duty0186
número de firmas de electores de su mismo centro y colegio,argument0681,duty0187
estructura del salario,argument0482,duty0189
escrito,argument0472,duty0197
empresario,argument0449,duty0198
identidad,argument0515,duty0199
empresa principal,argument0447,duty0200
escrito,argument0472,duty0201
empresario,argument0449,duty0202
identidad,argument0515,duty0203
empresa principal,argument0447,duty0204
contratos de duración determinada,argument0291,duty0210
trabajadores,argument0933,duty0211
puesto de trabajo,argument0800,duty0212
información mencionada,argument0532,duty0213
apartados anteriores,argument0155,duty0214
obligaciones de naturaleza salarial,argument0692,duty0215
comunicación fehaciente,argument0249,duty0217
un máximo de trece miembros,argument0972,duty0219
formación,argument0503,duty0225
prácticas,argument0797,duty0226
información mencionada en el apartado anterior,argument0533,duty0240
procedimientos de despidos colectivos,argument0781,duty0244
procedimiento concursal,argument0778,duty0245
cincuenta y cinco o más años de edad,argument0220,duty0246
condición de mutualistas el 1 de enero de 1967,argument0263,duty0247
cuotas destinadas a la financiación de un convenio especial,argument0332,duty0248
trabajadores anteriormente señalados,argument0936,duty0249
términos previstos en el texto refundido de la Ley General de la Seguridad Social,argument0967,duty0250
contratos,argument0290,duty0254
las disposiciones que sean precisas para el desarrollo de esta ley,argument0580,duty0257
criterios objetivos y compromisos de conversión de los contratos de duración determinada o temporales en indefinidos,argument0318,duty0259
estas informaciones,argument0478,duty0260
una memoria explicativa de las causas del despido colectivo y de los restantes aspectos señalados en el párrafo anterior,argument0979,duty0261
la documentación contable y fiscal y los informes técnicos,argument0565,duty0262
una memoria explicativa de las causas del despido colectivo y de los restantes aspectos señalados en el párrafo anterior,argument0979,duty0263
la documentación contable y fiscal y los informes técnicos,argument0565,duty0264
mediación,argument0631,duty0265
laudo arbitral,argument0590,duty0266
contenido básico de esos procedimientos de representación,argument0274,duty0268
aplicación,argument0156,duty0270
registro,argument0822,duty0282
jubilación parcial,argument0557,duty0292
reducción de jornada,argument0818,duty0293
reducción de salario,argument0820,duty0294
contrato de relevo,argument0285,duty0295
acuerdo de extinción,argument0136,duty0296
indemnización,argument0529,duty0297
extinción de los contratos de trabajo,argument0491,duty0298
las obligaciones especificadas en los apartados anteriores,argument0582,duty0299
a un centro de trabajo concreto de la empresa,argument0116,duty0300
observancia de los requisitos siguientes,argument0697,duty0309
venta de los bienes de la empresa,argument0987,duty0310
trabajos que tengan el carácter de fijos-discontinuos,argument0955,duty0311
periodo de consultas,argument0737,duty0323
representantes legales,argument0852,duty0324
trabajadores,argument0933,duty0325
negociación colectiva,argument0668,duty0326
ámbito correspondiente,argument0990,duty0327
la representación,argument0573,duty0330
comisión del convenio,argument0225,duty0331
concreción horaria,argument0256,duty0336
determinación de los periodos de disfrute,argument0378,duty0337
previa antigüedad del trabajador,argument0774,duty0342
cumplimiento,argument0331,duty0343
obligación de sigilo,argument0695,duty0344
cumplimiento,argument0331,duty0345
obligación de sigilo,argument0695,duty0346
suspenderse,argument0910,duty0347
incumplimientos contractuales,argument0527,duty0348
"acoso por razón de origen racial o étnico, religión o convicciones, discapacidad, edad u orientación sexual",argument0125,duty0349
acoso sexual o por razón de sexo,argument0126,duty0350
ejercitar,argument0423,duty0351
régimen de jornada completa o a tiempo parcial,argument0876,duty0352
acuerdo entre la empresa y la persona trabajadora afectada,argument0137,duty0353
términos que reglamentariamente se determinen,argument0969,duty0354
