event_subject,event_object,event_complement,event_trigger,event_subject_type,event_object_type,event_subject_id,event_object_id,event_complement_id,event_trigger_id,relation_id
comisión representativa,,,constituirá,LegalConcept,LegalConcept,argument0228,,,trigger0082,duty0001
derechos y obligaciones,,,se regulan,LegalConcept,LegalConcept,argument0368,,,trigger0598,duty0002
nuevo sistema,,,se aplicará,LegalConcept,LegalConcept,argument0680,,,trigger0518,duty0003
contrato a tiempo parcial,,,se regirá,LegalConcept,LegalConcept,argument0284,,,trigger0593,duty0004
copia básica,,oficina de empleo,se enviará,LegalConcept,LegalConcept,argument0313,,argument0699,trigger0558,duty0005
presidente de la mesa,empresario,acta de escrutinio,remitirá,LegalAgent,LegalAgent,argument0771,argument0449,argument0129,trigger0500,duty0006
presidente de la mesa,interventores de las candidaturas,acta de escrutinio,remitirá,LegalAgent,LegalAgent,argument0771,argument0549,argument0129,trigger0500,duty0007
presidente de la mesa,representantes electos,acta de escrutinio,remitirá,LegalAgent,LegalAgent,argument0771,argument0851,argument0129,trigger0500,duty0008
empresa,trabajadores afectados,,deberá ofrecer,LegalAgent,LegalAgent,argument0445,argument0935,,trigger0134,duty0009
trabajador,,medidas legales y reglamentarias de seguridad y salud en el trabajo,está obligado a observar,LegalAgent,LegalConcept,argument0925,,argument0637,trigger0240,duty0010
árbitros,,,deberán abstenerse,LegalAgent,LegalConcept,argument0999,,,trigger0151,duty0011
partes,,,deberán recurrir,LegalAgent,LegalConcept,argument0728,,,trigger0167,duty0012
trabajadores,,,tienen,LegalAgent,LegalConcept,argument0933,,,trigger0695,duty0013
empresario,trabajador afectado,,deberá ser notificada,LegalAgent,LegalAgent,argument0449,argument0927,,trigger0147,duty0014
empresario,representantes legales,,deberá ser notificada,LegalAgent,LegalAgent,argument0449,argument0852,,trigger0147,duty0015
plazo de caducidad,solicitud de conciliación,"ante el órgano público de mediación, arbitraje y conciliación competente",quedará interrumpido,LegalConcept,LegalConcept,argument0762,argument0899,argument0151,trigger0478,duty0016
jurisdicción social,,,fijará,LegalEntity,LegalConcept,argument0560,,,trigger0257,duty0017
"sustituciones, revocaciones, dimisiones y extinciones de mandato",oficina pública,,comunicarán,LegalConcept,LegalEntity,argument0915,argument0700,,trigger0067,duty0018
"sustituciones, revocaciones, dimisiones y extinciones de mandato",empresario,,comunicarán,LegalConcept,LegalEntity,argument0915,argument0449,,trigger0067,duty0019
acuerdos,,,tendrán,LegalConcept,LegalConcept,argument0139,,,trigger0676,duty0020
empresa,,,garantizará,LegalAgent,LegalConcept,argument0445,,,trigger0261,duty0021
no exista representación legal de los trabajadores,,,deberá formalizarse,LegalConcept,LegalConcept,argument0670,,,trigger0125,duty0022
"empresa, centro de trabajo, unidad productiva",,,conservar,LegalEntity,LegalConcept,argument0448,,,trigger0071,duty0023
trabajadores con discapacidad,,,prestar,LegalAgent,LegalConcept,argument0940,,,trigger0454,duty0024
convenios colectivos,,,expresar,LegalConcept,LegalConcept,argument0306,,,trigger0251,duty0025
La negativa del trabajador,,,determinar,LegalAgent,LegalConcept,argument0061,,,trigger0186,duty0026
El contrato de trabajo,,,suspenderse,LegalConcept,LegalConcept,argument0024,,,trigger0649,duty0027
mesa electoral,,,cumplirá,LegalEntity,LegalConcept,argument0643,,,trigger0100,duty0028
empresa,,,efectuará,LegalAgent,LegalConcept,argument0445,,,trigger0195,duty0029
Gobierno,,,dictará,LegalEntity,LegalConcept,argument0042,,,trigger0189,duty0030
comité de empresa,,,reconoce,LegalEntity,LegalConcept,argument0231,,,trigger0496,duty0031
empresario,representantes de los trabajadores,,deberá comunicar,LegalAgent,LegalAgent,argument0449,argument0850,,trigger0113,duty0032
empresa,,,se podrá proceder,LegalAgent,LegalConcept,argument0445,,,trigger0580,duty0033
empresa,,registro de jornada,organizará y documentará,LegalAgent,LegalConcept,argument0445,,argument0823,trigger0344,duty0034
razones,,modificaciones sustanciales de las condiciones de trabajo,Tendrán la consideración de,LegalConcept,LegalConcept,argument0808,,argument0656,trigger0029,duty0035
razones,,Horario y distribución del tiempo de trabajo,Tendrán la consideración de,LegalConcept,LegalConcept,argument0808,,argument0043,trigger0029,duty0036
este,,,permanecerá válido,LegalConcept,LegalConcept,argument0479,,,trigger0353,duty0037
se,,,considerará terminado,LegalConcept,LegalConcept,argument0885,,,trigger0077,duty0038
interposición del conflicto colectivo,,,paralizará,LegalConcept,LegalConcept,argument0546,,,trigger0349,duty0039
convenio colectivo,,cuantía de tales gratificaciones,fijará,LegalConcept,LegalConcept,argument0302,,argument0328,trigger0257,duty0040
contrato de trabajo,,causa derivada de fuerza mayor,podrá ser suspendido,LegalConcept,LegalConcept,argument0286,,argument0199,trigger0411,duty0041
empresario,trabajador,horas complementarias,ofrecer,LegalAgent,LegalAgent,argument0449,argument0925,argument0512,trigger0340,duty0042
comisión paritaria,,conflicto colectivo relativo a la interpretación o aplicación del convenio,deberá intervenir,LegalEntity,LegalConcept,argument0227,,argument0264,trigger0129,duty0043
el número y retribución de las horas complementarias realizadas,,el recibo individual de salarios,se deberá recoger,LegalConcept,LegalConcept,argument0429,,argument0434,trigger0541,duty0044
el número y retribución de las horas complementarias realizadas,,los documentos de cotización a la Seguridad Social,se deberá recoger,LegalConcept,LegalConcept,argument0429,,argument0611,trigger0541,duty0045
El acuerdo por el que se establezca el trabajo a distancia,,,se formalizará,LegalConcept,LegalConcept,argument0020,,,trigger0564,duty0046
mesa electoral,empresario,censo laboral,solicitará,LegalEntity,LegalAgent,argument0643,argument0449,argument0210,trigger0642,duty0047
