event_object,event_object_type,event_object_id,relation_id
,LegalConcept,,duty0001
,LegalConcept,,duty0002
,LegalConcept,,duty0003
,LegalConcept,,duty0004
,LegalConcept,,duty0005
empresario,LegalAgent,argument0449,duty0006
interventores de las candidaturas,LegalAgent,argument0549,duty0007
representantes electos,LegalAgent,argument0851,duty0008
trabajadores afectados,LegalAgent,argument0935,duty0009
,LegalConcept,,duty0010
,LegalConcept,,duty0011
,LegalConcept,,duty0012
,LegalConcept,,duty0013
trabajador afectado,LegalAgent,argument0927,duty0014
representantes legales,LegalAgent,argument0852,duty0015
solicitud de conciliación,LegalConcept,argument0899,duty0016
,LegalConcept,,duty0017
oficina pública,LegalEntity,argument0700,duty0018
empresario,LegalEntity,argument0449,duty0019
,LegalConcept,,duty0020
,LegalConcept,,duty0021
,LegalConcept,,duty0022
,LegalConcept,,duty0023
,LegalConcept,,duty0024
,LegalConcept,,duty0025
,LegalConcept,,duty0026
,LegalConcept,,duty0027
,LegalConcept,,duty0028
,LegalConcept,,duty0029
,LegalConcept,,duty0030
,LegalConcept,,duty0031
representantes de los trabajadores,LegalAgent,argument0850,duty0032
,LegalConcept,,duty0033
,LegalConcept,,duty0034
,LegalConcept,,duty0035
,LegalConcept,,duty0036
,LegalConcept,,duty0037
,LegalConcept,,duty0038
,LegalConcept,,duty0039
,LegalConcept,,duty0040
,LegalConcept,,duty0041
trabajador,LegalAgent,argument0925,duty0042
,LegalConcept,,duty0043
,LegalConcept,,duty0044
,LegalConcept,,duty0045
,LegalConcept,,duty0046
empresario,LegalAgent,argument0449,duty0047
empresarios,LegalAgent,argument0455,duty0048
,LegalConcept,,duty0049
,LegalConcept,,duty0050
,LegalConcept,,duty0051
,LegalConcept,,duty0052
,LegalConcept,,duty0053
,LegalConcept,,duty0054
,LegalConcept,,duty0055
,LegalConcept,,duty0056
,LegalConcept,,duty0057
términos de su ejercicio,LegalConcept,argument0966,duty0058
,LegalConcept,,duty0059
,LegalConcept,,duty0060
,LegalConcept,,duty0061
,LegalConcept,,duty0062
,LegalConcept,,duty0063
,LegalConcept,,duty0064
,LegalConcept,,duty0065
,LegalConcept,,duty0066
,LegalConcept,,duty0067
,LegalConcept,,duty0068
,LegalConcept,,duty0069
contrato de trabajo,LegalConcept,argument0286,duty0070
,LegalConcept,,duty0071
,LegalConcept,,duty0072
,LegalConcept,,duty0073
,LegalConcept,,duty0074
,LegalConcept,,duty0075
,LegalConcept,,duty0076
,LegalConcept,,duty0077
representantes de los trabajadores,LegalAgent,argument0850,duty0078
autoridad laboral,LegalAgent,argument0177,duty0079
,LegalConcept,,duty0080
,LegalConcept,,duty0081
,LegalConcept,,duty0082
,LegalConcept,,duty0083
,LegalConcept,,duty0084
,LegalConcept,,duty0085
,LegalConcept,,duty0086
,LegalConcept,,duty0087
,LegalConcept,,duty0088
,LegalConcept,,duty0089
,LegalConcept,,duty0090
,LegalConcept,,duty0091
,LegalConcept,,duty0092
trabajador contratado,LegalAgent,argument0928,duty0093
,LegalConcept,,duty0094
,LegalConcept,,duty0095
,LegalConcept,,duty0096
,LegalConcept,,duty0097
,LegalConcept,,duty0098
,LegalConcept,,duty0099
,LegalConcept,,duty0100
comités de empresa propios,LegalEntity,argument0235,duty0101
entidad gestora,LegalEntity,argument0468,duty0102
,LegalConcept,,duty0103
entidad gestora,LegalEntity,argument0468,duty0104
trabajador,LegalAgent,argument0925,duty0105
trabajador,LegalAgent,argument0925,duty0106
trabajador,LegalAgent,argument0925,duty0107
trabajador,LegalAgent,argument0925,duty0108
