event_subject,event_subject_type,event_subject_id,relation_id
comisión representativa,LegalConcept,argument0228,duty0001
derechos y obligaciones,LegalConcept,argument0368,duty0002
nuevo sistema,LegalConcept,argument0680,duty0003
contrato a tiempo parcial,LegalConcept,argument0284,duty0004
copia básica,LegalConcept,argument0313,duty0005
presidente de la mesa,LegalAgent,argument0771,duty0006
presidente de la mesa,LegalAgent,argument0771,duty0007
presidente de la mesa,LegalAgent,argument0771,duty0008
empresa,LegalAgent,argument0445,duty0009
trabajador,LegalAgent,argument0925,duty0010
árbitros,LegalAgent,argument0999,duty0011
partes,LegalAgent,argument0728,duty0012
trabajadores,LegalAgent,argument0933,duty0013
empresario,LegalAgent,argument0449,duty0014
empresario,LegalAgent,argument0449,duty0015
plazo de caducidad,LegalConcept,argument0762,duty0016
jurisdicción social,LegalEntity,argument0560,duty0017
"sustituciones, revocaciones, dimisiones y extinciones de mandato",LegalConcept,argument0915,duty0018
"sustituciones, revocaciones, dimisiones y extinciones de mandato",LegalConcept,argument0915,duty0019
acuerdos,LegalConcept,argument0139,duty0020
empresa,LegalAgent,argument0445,duty0021
no exista representación legal de los trabajadores,LegalConcept,argument0670,duty0022
"empresa, centro de trabajo, unidad productiva",LegalEntity,argument0448,duty0023
trabajadores con discapacidad,LegalAgent,argument0940,duty0024
convenios colectivos,LegalConcept,argument0306,duty0025
La negativa del trabajador,LegalAgent,argument0061,duty0026
El contrato de trabajo,LegalConcept,argument0024,duty0027
mesa electoral,LegalEntity,argument0643,duty0028
empresa,LegalAgent,argument0445,duty0029
Gobierno,LegalEntity,argument0042,duty0030
comité de empresa,LegalEntity,argument0231,duty0031
empresario,LegalAgent,argument0449,duty0032
empresa,LegalAgent,argument0445,duty0033
empresa,LegalAgent,argument0445,duty0034
razones,LegalConcept,argument0808,duty0035
razones,LegalConcept,argument0808,duty0036
este,LegalConcept,argument0479,duty0037
se,LegalConcept,argument0885,duty0038
interposición del conflicto colectivo,LegalConcept,argument0546,duty0039
convenio colectivo,LegalConcept,argument0302,duty0040
contrato de trabajo,LegalConcept,argument0286,duty0041
empresario,LegalAgent,argument0449,duty0042
comisión paritaria,LegalEntity,argument0227,duty0043
el número y retribución de las horas complementarias realizadas,LegalConcept,argument0429,duty0044
el número y retribución de las horas complementarias realizadas,LegalConcept,argument0429,duty0045
El acuerdo por el que se establezca el trabajo a distancia,LegalConcept,argument0020,duty0046
mesa electoral,LegalEntity,argument0643,duty0047
Fondo de Garantía Salarial,LegalConcept,argument0041,duty0048
actividad de trabajo en el mar,LegalConcept,argument0132,duty0049
relaciones laborales de carácter especial,LegalConcept,argument0836,duty0050
cedente y el cesionario,LegalEntity,argument0208,duty0051
duración del descanso semanal de los menores de dieciocho años,LegalConcept,argument0412,duty0052
trabajadores fijos-discontinuos,LegalAgent,argument0944,duty0053
régimen de horas complementarias,LegalConcept,argument0875,duty0054
Ambas partes,LegalEntity,argument0002,duty0055
trabajador,LegalAgent,argument0925,duty0056
certificaciones,LegalConcept,argument0212,duty0057
negociación colectiva,LegalConcept,argument0668,duty0058
los convocantes,LegalEntity,argument0610,duty0059
Los derechos y obligaciones concernientes a la relación laboral,LegalConcept,argument0086,duty0060
El trabajador,LegalAgent,argument0030,duty0061
Las discrepancias que surjan entre empresarios y trabajadores,LegalConcept,argument0068,duty0062
comités de empresa o centro de trabajo,LegalEntity,argument0234,duty0063
partes negociadoras,LegalEntity,argument0730,duty0064
duración de la jornada,LegalConcept,argument0411,duty0065
adopción del acuerdo de extinción,LegalConcept,argument0145,duty0066
empresario,LegalAgent,argument0449,duty0067
Fondo,LegalEntity,argument0040,duty0068
oficina pública,LegalEntity,argument0700,duty0069
nacimiento,LegalConcept,argument0664,duty0070
derechos y obligaciones,LegalConcept,argument0368,duty0071
reparto de miembros,LegalConcept,argument0842,duty0072
reparto de miembros,LegalConcept,argument0842,duty0073
comité de empresa,LegalEntity,argument0231,duty0074
comité de empresa,LegalEntity,argument0231,duty0075
Fondo de Garantía Salarial,LegalEntity,argument0041,duty0076
Fondo de Garantía Salarial,LegalEntity,argument0041,duty0077
empresario,LegalAgent,argument0449,duty0078
empresario,LegalAgent,argument0449,duty0079
dirección de la empresa,LegalEntity,argument0388,duty0080
desplazamientos,LegalConcept,argument0377,duty0081
decisión de extensión,LegalConcept,argument0338,duty0082
permiso,LegalConcept,argument0746,duty0083
organizaciones sindicales y asociaciones empresariales,LegalEntity,argument0707,duty0084
obligaciones de información y documentación,LegalConcept,argument0691,duty0085
partes,LegalConcept,argument0728,duty0086
La impartición de esta formación,LegalConcept,argument0057,duty0087
"El disfrute de cada período semanal o, en su caso, de la acumulación de dichos períodos",LegalConcept,argument0026,duty0088
los acuerdos,LegalConcept,argument0607,duty0089
resolución,LegalConcept,argument0860,duty0090
empresa o centro de trabajo,LegalEntity,argument0446,duty0091
intervención como interlocutores,LegalConcept,argument0548,duty0092
retribución,LegalConcept,argument0869,duty0093
contrato,LegalConcept,argument0283,duty0094
contrato,LegalConcept,argument0283,duty0095
contrato,LegalConcept,argument0283,duty0096
cedente y el cesionario,LegalEntity,argument0208,duty0097
empresario,LegalAgent,argument0449,duty0098
empresario,LegalAgent,argument0449,duty0099
La suspensión,LegalConcept,argument0066,duty0100
unos centros,LegalConcept,argument0982,duty0101
autoridad laboral,LegalEntity,argument0177,duty0102
empresario,LegalAgent,argument0449,duty0103
autoridad laboral,LegalEntity,argument0177,duty0104
sentencia,LegalConcept,argument0888,duty0105
sentencia,LegalConcept,argument0888,duty0106
sentencia,LegalConcept,argument0888,duty0107
sentencia,LegalConcept,argument0888,duty0108
sentencia,LegalConcept,argument0888,duty0109
sentencia,LegalConcept,argument0888,duty0110
sentencia,LegalConcept,argument0888,duty0111
sentencia,LegalConcept,argument0888,duty0112
sentencia,LegalConcept,argument0888,duty0113
sentencia,LegalConcept,argument0888,duty0114
sentencia,LegalConcept,argument0888,duty0115
sentencia,LegalConcept,argument0888,duty0116
sentencia,LegalConcept,argument0888,duty0117
sentencia,LegalConcept,argument0888,duty0118
interposición del conflicto,LegalConcept,argument0545,duty0119
árbitro,LegalAgent,argument0997,duty0120
árbitro,LegalAgent,argument0997,duty0121
árbitro,LegalAgent,argument0997,duty0122
árbitro,LegalAgent,argument0997,duty0123
árbitro,LegalAgent,argument0997,duty0124
sanción de las faltas graves y muy graves,LegalConcept,argument0884,duty0125
sanción de las faltas graves y muy graves,LegalConcept,argument0884,duty0126
sanción de las faltas graves y muy graves,LegalConcept,argument0884,duty0127
autoridad laboral,LegalEntity,argument0177,duty0128
empresario,LegalAgent,argument0449,duty0129
secciones sindicales,LegalEntity,argument0886,duty0130
escrito,LegalConcept,argument0472,duty0131
derecho,LegalConcept,argument0358,duty0132
los que no hubieran sido dados de alta en la Seguridad Social,LegalAgent,argument0614,duty0133
trabajadores,LegalAgent,argument0933,duty0134
contrato,LegalConcept,argument0283,duty0135
empresario,LegalAgent,argument0449,duty0136
escrito,LegalConcept,argument0472,duty0137
establecimiento de planes de igualdad,LegalConcept,argument0477,duty0138
miembros del comité o delegado de personal,LegalAgent,argument0650,duty0139
persona trabajadora,LegalAgent,argument0751,duty0140
convenio colectivo o acuerdo,LegalConcept,argument0303,duty0141
convenio colectivo o acuerdo,LegalConcept,argument0303,duty0142
convenio colectivo o acuerdo,LegalConcept,argument0303,duty0143
convenio colectivo o acuerdo,LegalConcept,argument0303,duty0144
