event_trigger,event_trigger_id,relation_id
constituirá,trigger0082,duty0001
se regulan,trigger0598,duty0002
se aplicará,trigger0518,duty0003
se regirá,trigger0593,duty0004
se enviará,trigger0558,duty0005
remitirá,trigger0500,duty0006
remitirá,trigger0500,duty0007
remitirá,trigger0500,duty0008
deberá ofrecer,trigger0134,duty0009
está obligado a observar,trigger0240,duty0010
deberán abstenerse,trigger0151,duty0011
deberán recurrir,trigger0167,duty0012
tienen,trigger0695,duty0013
deberá ser notificada,trigger0147,duty0014
deberá ser notificada,trigger0147,duty0015
quedará interrumpido,trigger0478,duty0016
fijará,trigger0257,duty0017
comunicarán,trigger0067,duty0018
comunicarán,trigger0067,duty0019
tendrán,trigger0676,duty0020
garantizará,trigger0261,duty0021
deberá formalizarse,trigger0125,duty0022
conservar,trigger0071,duty0023
prestar,trigger0454,duty0024
expresar,trigger0251,duty0025
determinar,trigger0186,duty0026
suspenderse,trigger0649,duty0027
cumplirá,trigger0100,duty0028
efectuará,trigger0195,duty0029
dictará,trigger0189,duty0030
reconoce,trigger0496,duty0031
deberá comunicar,trigger0113,duty0032
se podrá proceder,trigger0580,duty0033
organizará y documentará,trigger0344,duty0034
Tendrán la consideración de,trigger0029,duty0035
Tendrán la consideración de,trigger0029,duty0036
permanecerá válido,trigger0353,duty0037
considerará terminado,trigger0077,duty0038
paralizará,trigger0349,duty0039
fijará,trigger0257,duty0040
podrá ser suspendido,trigger0411,duty0041
ofrecer,trigger0340,duty0042
deberá intervenir,trigger0129,duty0043
se deberá recoger,trigger0541,duty0044
se deberá recoger,trigger0541,duty0045
se formalizará,trigger0564,duty0046
solicitará,trigger0642,duty0047
se financiará,trigger0563,duty0048
se considerará,trigger0530,duty0049
se considerarán,trigger0533,duty0050
responderán solidariamente,trigger0510,duty0051
será,trigger0610,duty0052
serán llamados,trigger0630,duty0053
continuará siendo de aplicación,trigger0089,duty0054
estarán obligadas a negociar,trigger0233,duty0055
procederá la apertura de expediente contradictorio,trigger0462,duty0056
consignarán,trigger0079,duty0057
pactarán,trigger0348,duty0058
se requerirá,trigger0599,duty0059
se regulan,trigger0598,duty0060
correrá a cargo,trigger0095,duty0061
se resolverán,trigger0600,duty0062
elegirán,trigger0202,duty0063
corresponderá,trigger0097,duty0064
deberá ser,trigger0143,duty0065
exige,trigger0245,duty0066
deberá facilitar,trigger0122,duty0067
se calcularán,trigger0522,duty0068
expondrá,trigger0250,duty0069
suspenderá,trigger0650,duty0070
se regulan,trigger0598,duty0071
se efectuará,trigger0547,duty0072
se efectuará,trigger0547,duty0073
es,trigger0213,duty0074
es,trigger0213,duty0075
dispensará,trigger0192,duty0076
dispensará,trigger0192,duty0077
remitirá,trigger0500,duty0078
remitirá,trigger0500,duty0079
deberá comunicar,trigger0113,duty0080
tendrán,trigger0676,duty0081
se adoptará,trigger0515,duty0082
tendrá,trigger0651,duty0083
establecer,trigger0214,duty0084
aplicarán,trigger0046,duty0085
deberán negociar,trigger0164,duty0086
deberá justificarse,trigger0133,duty0087
deberá comunicarse,trigger0114,duty0088
existirá,trigger0247,duty0089
será dictada,trigger0615,duty0090
constituirá,trigger0082,duty0091
