event_subject,event_object,event_complement,event_trigger,event_subject_type,event_object_type,event_subject_id,event_object_id,event_complement_id,event_trigger_id,relation_id
,,,considerarán,LegalConcept,LegalConcept,,,,trigger0078,noright0001
,,,mediarán,LegalConcept,LegalConcept,,,,trigger0293,noright0002
convenios,,,superará,LegalEntity,LegalConcept,argument0305,,,trigger0646,noright0003
empresas,,,se incurre,LegalEntity,LegalConcept,argument0456,,,trigger0570,noright0004
comité de empresa o por los delegados de personal,,,será presidida,LegalEntity,LegalConcept,argument0232,,,trigger0621,noright0005
arbitraje,,,perderá,LegalConcept,LegalConcept,argument0161,,,trigger0352,noright0006
"los títulos de grado, máster y, en su caso, doctorado, correspondientes a los estudios universitarios",,,no se considerarán,LegalConcept,LegalConcept,argument0621,,,trigger0326,noright0007
El acuerdo de inaplicación,,"las obligaciones establecidas en convenio relativas a la eliminación de las discriminaciones por razones de género o de las que estuvieran previstas, en su caso, en el plan de igualdad aplicable en la empresa",no podrá dar lugar,LegalConcept,LegalConcept,argument0019,,argument0583,trigger0309,noright0008
contratos temporales,,,presumirán,LegalConcept,LegalConcept,argument0298,,,trigger0458,noright0009
insolvencia del empresario,ejecución,créditos laborales,existe,LegalConcept,LegalConcept,argument0541,argument0420,argument0322,trigger0246,noright0010
coste,plan,,recaerá,LegalConcept,LegalConcept,argument0317,argument0759,,trigger0493,noright0011
contrato,,jornada completa,presumirá,LegalConcept,LegalConcept,argument0283,,argument0552,trigger0457,noright0012
empresario,representantes de los trabajadores,decisión sobre el despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0850,argument0343,trigger0304,noright0013
empresario,representantes de los trabajadores,procedimiento de despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0850,argument0779,trigger0304,noright0014
empresario,autoridad laboral,decisión sobre el despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0177,argument0343,trigger0304,noright0015
empresario,autoridad laboral,procedimiento de despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0177,argument0779,trigger0304,noright0016
contrato de trabajo,,,se extinguirá,LegalConcept,LegalConcept,argument0286,,,trigger0561,noright0017
promoción,denuncia,convenio colectivo,sea,LegalConcept,LegalConcept,argument0788,argument0357,argument0302,trigger0606,noright0018
empresa,,"aquellas informaciones específicas relacionadas con secretos industriales, financieros o comerciales",no estará obligada a comunicar,LegalAgent,LegalConcept,argument0445,,argument0160,trigger0301,noright0019
,,,Quedan derogadas,LegalConcept,LegalConcept,,,,trigger0012,noright0020
Los trabajadores,,,no será de aplicación,LegalAgent,LegalConcept,argument0091,,,trigger0328,noright0021
asociaciones empresariales,,,estarán comprendidas,LegalEntity,LegalConcept,argument0170,,,trigger0228,noright0022
trabajadores,,,realizar,LegalAgent,LegalConcept,argument0933,,,trigger0487,noright0023
empresa,,,no podrá comprenderse,LegalAgent,LegalConcept,argument0445,,,trigger0308,noright0024
personas prestadoras del servicio de transporte,,,se entenderá excluida,LegalAgent,LegalConcept,argument0757,,,trigger0552,noright0025
retribución,,,podrá ser,LegalConcept,LegalConcept,argument0869,,,trigger0407,noright0026
empresa,,,realice traslados,LegalAgent,LegalConcept,argument0445,,,trigger0485,noright0027
