event_complement,event_complement_id,relation_id
"las obligaciones establecidas en convenio relativas a la eliminación de las discriminaciones por razones de género o de las que estuvieran previstas, en su caso, en el plan de igualdad aplicable en la empresa",argument0583,noright0008
créditos laborales,argument0322,noright0010
jornada completa,argument0552,noright0012
decisión sobre el despido colectivo,argument0343,noright0013
procedimiento de despido colectivo,argument0779,noright0014
decisión sobre el despido colectivo,argument0343,noright0015
procedimiento de despido colectivo,argument0779,noright0016
convenio colectivo,argument0302,noright0018
"aquellas informaciones específicas relacionadas con secretos industriales, financieros o comerciales",argument0160,noright0019
causas objetivas legalmente procedentes,argument0206,noright0029
incapacidad temporal,argument0521,noright0030
riesgo durante el embarazo,argument0872,noright0031
maternidad,argument0629,noright0032
adopción,argument0144,noright0033
guarda con fines de adopción,argument0509,noright0034
acogimiento,argument0124,noright0035
riesgo durante la lactancia,argument0873,noright0036
paternidad,argument0732,noright0037
cómputo,argument0333,noright0038
duración,argument0410,noright0039
contrato,argument0283,noright0040
su decisión sobre la suspensión de contratos,argument0902,noright0043
su decisión sobre la suspensión de contratos,argument0902,noright0044
artículo 83.2,argument0164,noright0055
ejercicio de las acciones ejecutivas,argument0422,noright0075
reconocimiento del crédito,argument0815,noright0076
cuantía íntegra en dinero del salario mínimo interprofesional,argument0329,noright0084
tiempo convenido,argument0920,noright0088
realización de la obra o servicio,argument0813,noright0089
documento,argument0408,noright0092
despido,argument0374,noright0096
este artículo,argument0480,noright0102
periodo de consultas,argument0737,noright0103
contratos,argument0290,noright0106
promoción,argument0788,noright0117
contrato de trabajo,argument0286,noright0118
obligaciones de registro,argument0693,noright0119
consulta de las organizaciones sindicales y empresariales más representativas,argument0272,noright0120
decisión relativa a la transmisión,argument0342,noright0121
nuevo periodo de excedencia,argument0679,noright0122
modalidad,argument0651,noright0133
Ley 11/1994,argument0074,noright0136
Estatuto de los Trabajadores,argument0036,noright0137
Ley de Procedimiento Laboral,argument0075,noright0138
Ley sobre Infracciones y Sanciones en el Orden Social,argument0076,noright0139
Ley 11/1994,argument0074,noright0140
Estatuto de los Trabajadores,argument0036,noright0141
Ley de Procedimiento Laboral,argument0075,noright0142
Ley sobre Infracciones y Sanciones en el Orden Social,argument0076,noright0143
las horas extraordinarias,argument0581,noright0157
realización de estas horas,argument0812,noright0160
aplicación,argument0156,noright0161
acuerdo,argument0135,noright0172
libertad de trabajo,argument0595,noright0173
contratos temporales de duración determinada del artículo 15,argument0299,noright0174
