event_subject,event_subject_type,event_subject_id,relation_id
convenios,LegalEntity,argument0305,noright0003
empresas,LegalEntity,argument0456,noright0004
comité de empresa o por los delegados de personal,LegalEntity,argument0232,noright0005
arbitraje,LegalConcept,argument0161,noright0006
"los títulos de grado, máster y, en su caso, doctorado, correspondientes a los estudios universitarios",LegalConcept,argument0621,noright0007
El acuerdo de inaplicación,LegalConcept,argument0019,noright0008
contratos temporales,LegalConcept,argument0298,noright0009
insolvencia del empresario,LegalConcept,argument0541,noright0010
coste,LegalConcept,argument0317,noright0011
contrato,LegalConcept,argument0283,noright0012
empresario,LegalAgent,argument0449,noright0013
empresario,LegalAgent,argument0449,noright0014
empresario,LegalAgent,argument0449,noright0015
empresario,LegalAgent,argument0449,noright0016
contrato de trabajo,LegalConcept,argument0286,noright0017
promoción,LegalConcept,argument0788,noright0018
empresa,LegalAgent,argument0445,noright0019
Los trabajadores,LegalAgent,argument0091,noright0021
asociaciones empresariales,LegalEntity,argument0170,noright0022
trabajadores,LegalAgent,argument0933,noright0023
empresa,LegalAgent,argument0445,noright0024
personas prestadoras del servicio de transporte,LegalAgent,argument0757,noright0025
retribución,LegalConcept,argument0869,noright0026
empresa,LegalAgent,argument0445,noright0027
Los trabajos familiares,LegalConcept,argument0093,noright0028
El contrato de trabajo,LegalConcept,argument0024,noright0029
situaciones,LegalConcept,argument0897,noright0030
situaciones,LegalConcept,argument0897,noright0031
situaciones,LegalConcept,argument0897,noright0032
situaciones,LegalConcept,argument0897,noright0033
situaciones,LegalConcept,argument0897,noright0034
situaciones,LegalConcept,argument0897,noright0035
situaciones,LegalConcept,argument0897,noright0036
situaciones,LegalConcept,argument0897,noright0037
situaciones,LegalConcept,argument0897,noright0038
situaciones,LegalConcept,argument0897,noright0039
situaciones,LegalConcept,argument0897,noright0040
salarios profesionales,LegalEntity,argument0883,noright0041
revocación,LegalConcept,argument0871,noright0042
empresario,LegalAgent,argument0449,noright0043
empresario,LegalAgent,argument0449,noright0044
falta de constitución de la comisión representativa,LegalConcept,argument0494,noright0045
inobservancia de cualquiera de las reglas anteriores,LegalConcept,argument0539,noright0046
despido,LegalConcept,argument0374,noright0047
"preceptos reglamentarios, cláusulas de los convenios colectivos, pactos individuales y decisiones unilaterales del empresario",LegalConcept,argument0769,noright0048
excepción,LegalConcept,argument0485,noright0049
interposición del conflicto,LegalConcept,argument0545,noright0050
contrato de trabajo,LegalConcept,argument0286,noright0051
asociaciones empresariales de comunidad autónoma,LegalEntity,argument0171,noright0052
trabajo,LegalConcept,argument0949,noright0053
trabajadores,LegalAgent,argument0933,noright0054
acuerdos y convenios colectivos,LegalConcept,argument0142,noright0055
trabajador,LegalAgent,argument0925,noright0056
empresario,LegalAgent,argument0449,noright0057
contrato de trabajo,LegalConcept,argument0286,noright0058
empresario,LegalAgent,argument0449,noright0059
Estos acuerdos y laudos,LegalConcept,argument0038,noright0060
Un trabajo,LegalConcept,argument0113,noright0061
La regulación de las condiciones establecidas en un convenio de empresa,LegalConcept,argument0065,noright0062
contrato de trabajo,LegalConcept,argument0286,noright0063
