event_trigger,event_trigger_id,relation_id
considerarán,trigger0078,noright0001
mediarán,trigger0293,noright0002
superará,trigger0646,noright0003
se incurre,trigger0570,noright0004
será presidida,trigger0621,noright0005
perderá,trigger0352,noright0006
no se considerarán,trigger0326,noright0007
no podrá dar lugar,trigger0309,noright0008
presumirán,trigger0458,noright0009
existe,trigger0246,noright0010
recaerá,trigger0493,noright0011
presumirá,trigger0457,noright0012
no hubiera comunicado,trigger0304,noright0013
no hubiera comunicado,trigger0304,noright0014
no hubiera comunicado,trigger0304,noright0015
no hubiera comunicado,trigger0304,noright0016
se extinguirá,trigger0561,noright0017
sea,trigger0606,noright0018
no estará obligada a comunicar,trigger0301,noright0019
Quedan derogadas,trigger0012,noright0020
no será de aplicación,trigger0328,noright0021
estarán comprendidas,trigger0228,noright0022
realizar,trigger0487,noright0023
no podrá comprenderse,trigger0308,noright0024
se entenderá excluida,trigger0552,noright0025
podrá ser,trigger0407,noright0026
realice traslados,trigger0485,noright0027
excluyen,trigger0244,noright0028
se extinguirá,trigger0561,noright0029
no interrumpirán,trigger0306,noright0030
no interrumpirán,trigger0306,noright0031
no interrumpirán,trigger0306,noright0032
no interrumpirán,trigger0306,noright0033
no interrumpirán,trigger0306,noright0034
no interrumpirán,trigger0306,noright0035
no interrumpirán,trigger0306,noright0036
no interrumpirán,trigger0306,noright0037
no interrumpirán,trigger0306,noright0038
no interrumpirán,trigger0306,noright0039
no interrumpirán,trigger0306,noright0040
no afectará,trigger0297,noright0041
no podrá efectuarse,trigger0310,noright0042
no hubiera comunicado,trigger0304,noright0043
no hubiera comunicado,trigger0304,noright0044
no impedirá,trigger0305,noright0045
determinará,trigger0187,noright0046
Será nulo,trigger0022,noright0047
entenderán nulos y sin efecto,trigger0208,noright0048
no abarca,trigger0296,noright0049
paralizará,trigger0349,noright0050
se extinguirá,trigger0561,noright0051
estar representadas,trigger0218,noright0052
excluyen,trigger0244,noright0053
no podrán realizar,trigger0322,noright0054
no podrán disponer,trigger0320,noright0055
No cabrá invocar,trigger0007,noright0056
no podrá ser tomada,trigger0318,noright0057
extinguirse,trigger0253,noright0058
supongan un trato desfavorable,trigger0647,noright0059
serán susceptibles de impugnación,trigger0639,noright0060
tendrá igual valor,trigger0668,noright0061
tendrá prioridad aplicativa,trigger0671,noright0062
podrá suspenderse,trigger0418,noright0063
se ajustará,trigger0516,noright0064
caducará,trigger0057,noright0065
no será de aplicación,trigger0328,noright0066
coincida,trigger0061,noright0067
prohíbe realizar,trigger0467,noright0068
impidiese,trigger0280,noright0069
Será nulo,trigger0022,noright0070
se extinguirá,trigger0561,noright0071
interrumpirán,trigger0287,noright0072
no serán de aplicación,trigger0330,noright0073
no podrán realizar,trigger0322,noright0074
se interrumpirá,trigger0572,noright0075
se interrumpirá,trigger0572,noright0076
será nula,trigger0620,noright0077
se considerará,trigger0530,noright0078
no será de aplicación,trigger0328,noright0079
prohíbe,trigger0466,noright0080
no podrán realizar,trigger0322,noright0081
no podrá ser despedido,trigger0316,noright0082
quedará exonerado,trigger0477,noright0083
podrá superar,trigger0415,noright0084
nulo,trigger0335,noright0085
podrá extinguirse,trigger0382,noright0086
les será de aplicación,trigger0291,noright0087
se extinguirá,trigger0561,noright0088
se extinguirá,trigger0561,noright0089
será nula,trigger0620,noright0090
no determinará,trigger0299,noright0091
podrá ser utilizado,trigger0412,noright0092
no podrá exceder,trigger0311,noright0093
es,trigger0213,noright0094
podrá limitar,trigger0390,noright0095
nulo,trigger0335,noright0096
se extinguirá,trigger0561,noright0097
considerarán,trigger0078,noright0098
no podrá ser tomada,trigger0318,noright0099
no estará sometido,trigger0302,noright0100
no efectuar,trigger0300,noright0101
determinará,trigger0187,noright0102
entenderá,trigger0204,noright0103
quedará paralizada,trigger0479,noright0104
Será también nula,trigger0023,noright0105
no será de aplicación a,trigger0329,noright0106
no podrán exceder de,trigger0321,noright0107
no será,trigger0327,noright0108
optar,trigger0341,noright0109
realice,trigger0483,noright0110
establecer,trigger0214,noright0111
será firmada,trigger0618,noright0112
no podrán realizarse,trigger0323,noright0113
no podrá exceder,trigger0311,noright0114
podrán disponer,trigger0429,noright0115
decaerá,trigger0177,noright0116
no impedirá,trigger0305,noright0117
prescribirán,trigger0451,noright0118
se presumirá celebrado,trigger0587,noright0119
ha sido sometido,trigger0268,noright0120
se aplicarán,trigger0519,noright0121
dará fin,trigger0105,noright0122
no podrá ser afectado,trigger0315,noright0123
dará derecho,trigger0104,noright0124
se podrá estar contratado,trigger0579,noright0125
tendrá una duración inicial,trigger0675,noright0126
podrá negarse,trigger0391,noright0127
se considerará,trigger0530,noright0128
reclamar,trigger0494,noright0129
finalice,trigger0259,noright0130
convalidará,trigger0092,noright0131
podrá ser,trigger0407,noright0132
no podrá ser,trigger0313,noright0133
no podrá exceder,trigger0311,noright0134
hubiese celebrado,trigger0279,noright0135
introducidas,trigger0289,noright0136
introducidas,trigger0289,noright0137
introducidas,trigger0289,noright0138
introducidas,trigger0289,noright0139
introducidas,trigger0289,noright0140
introducidas,trigger0289,noright0141
introducidas,trigger0289,noright0142
introducidas,trigger0289,noright0143
podrá extinguirse,trigger0382,noright0144
no podrán tener,trigger0324,noright0145
no extinguirá,trigger0303,noright0146
considerarán,trigger0078,noright0147
no podrá alegarse,trigger0307,noright0148
no podrá ser superior,trigger0317,noright0149
no podrá exceder,trigger0311,noright0150
no será de aplicación,trigger0328,noright0151
no será de aplicación,trigger0328,noright0152
será nula,trigger0620,noright0153
entenderá celebrado,trigger0205,noright0154
constituirá,trigger0082,noright0155
verá reducido,trigger0712,noright0156
compensadas mediante descanso,trigger0062,noright0157
realice modificaciones sustanciales,trigger0484,noright0158
se entenderá que concurren,trigger0554,noright0159
no constituirá,trigger0298,noright0160
no será,trigger0327,noright0161
afecte,trigger0042,noright0162
Serán,trigger0024,noright0163
no podrá exceder,trigger0311,noright0164
no podrán arrogarse,trigger0319,noright0165
no podrán disponer,trigger0320,noright0166
no será de aplicación,trigger0328,noright0167
habrá,trigger0269,noright0168
podrán realizar,trigger0439,noright0169
se extinguirá,trigger0561,noright0170
se producirán,trigger0589,noright0171
podrá rescindir,trigger0406,noright0172
podrá rescindir,trigger0406,noright0173
no podrá exceder,trigger0311,noright0174
podrán ser discriminados,trigger0441,noright0175
denegación,trigger0179,noright0176
no podrá ser acordada,trigger0314,noright0177
