event_subject,event_object,event_complement,event_trigger,event_subject_type,event_object_type,event_subject_id,event_object_id,event_complement_id,event_trigger_id,relation_id
Ministerio de Empleo y Seguridad Social,,,podrán extender,LegalEntity,LegalConcept,argument0094,,,trigger0432,privilege0001
empresario,,,podrá adoptar,LegalAgent,LegalConcept,argument0449,,,trigger0358,privilege0002
partes,,,someter,LegalEntity,LegalConcept,argument0728,,,trigger0644,privilege0003
convenios colectivos,,,podrán regular,LegalConcept,LegalConcept,argument0306,,,trigger0440,privilege0004
contrato de relevo,trabajadores,,podrá concertar,LegalConcept,LegalAgent,argument0285,argument0933,,trigger0366,privilege0005
empresa,,,se podrá proceder,LegalAgent,LegalConcept,argument0445,,,trigger0580,privilege0006
Quienes,,,contratar,LegalConcept,LegalConcept,argument0101,,,trigger0091,privilege0007
Cada progenitor,,,disfrutar,LegalAgent,LegalConcept,argument0003,,,trigger0190,privilege0008
trabajadores,,,acogerán,LegalAgent,LegalConcept,argument0933,,,trigger0035,privilege0009
Gobierno,,,podrá reducir,LegalEntity,LegalConcept,argument0042,,,trigger0403,privilege0010
actividades formativas,,formación complementaria,podrán incluir,LegalConcept,LegalConcept,argument0134,,argument0504,trigger0435,privilege0011
jornada de trabajo,,,podrá reducirse,LegalConcept,LegalConcept,argument0555,,,trigger0404,privilege0012
trabajador,,,podrá hacerlo,LegalAgent,LegalConcept,argument0925,,,trigger0385,privilege0013
menores de dieciocho y mayores de dieciséis años,,,Podrán contratar,LegalConcept,LegalConcept,argument0641,,,trigger0009,privilege0014
autoridad laboral,,indemnización,podrá acordar,LegalEntity,LegalConcept,argument0177,,argument0529,trigger0356,privilege0015
autoridad laboral,,trabajadores,podrá acordar,LegalEntity,LegalConcept,argument0177,,argument0933,trigger0356,privilege0016
autoridad laboral,,contratos,podrá acordar,LegalEntity,LegalConcept,argument0177,,argument0290,trigger0356,privilege0017
negociación colectiva,,medidas,podrá establecer,LegalEntity,LegalConcept,argument0668,,argument0634,trigger0377,privilege0018
negociación colectiva,,"condiciones de clasificación profesional, promoción y formación",podrá establecer,LegalEntity,LegalConcept,argument0668,,argument0259,trigger0377,privilege0019
despedido,,,corresponderá,LegalAgent,LegalConcept,argument0373,,,trigger0097,privilege0020
pacto,,horas complementarias,podrá acordarse,LegalConcept,LegalConcept,argument0718,,argument0512,trigger0357,privilege0021
trabajadores,,situación de excedencia,podrán solicitar,LegalAgent,LegalConcept,argument0933,,argument0898,trigger0445,privilege0022
contrato de trabajo,,causas,podrá suspenderse,LegalConcept,LegalConcept,argument0286,,argument0201,trigger0418,privilege0023
comunidades autónomas,,,podrán señalar,LegalEntity,LegalConcept,argument0252,,,trigger0444,privilege0024
asociaciones empresariales,,,gozan de,LegalEntity,LegalConcept,argument0170,,,trigger0262,privilege0025
asamblea,,,convocada,LegalConcept,LegalConcept,argument0167,,,trigger0093,privilege0026
contrato de trabajo en prácticas,,,podrá concertarse,LegalConcept,LegalConcept,argument0287,,,trigger0367,privilege0027
convenios colectivos,,,podrán establecer,LegalEntity,LegalConcept,argument0306,,,trigger0431,privilege0028
El trabajador y sus representantes legales,,comunicaciones,pueden pedir,LegalAgent,LegalConcept,argument0031,,argument0244,trigger0476,privilege0029
El trabajador y sus representantes legales,,parte,pueden pedir,LegalAgent,LegalConcept,argument0031,,argument0724,trigger0476,privilege0030
