event_trigger,event_trigger_id,relation_id
podrán extender,trigger0432,privilege0001
podrá adoptar,trigger0358,privilege0002
someter,trigger0644,privilege0003
podrán regular,trigger0440,privilege0004
podrá concertar,trigger0366,privilege0005
se podrá proceder,trigger0580,privilege0006
contratar,trigger0091,privilege0007
disfrutar,trigger0190,privilege0008
acogerán,trigger0035,privilege0009
podrá reducir,trigger0403,privilege0010
podrán incluir,trigger0435,privilege0011
podrá reducirse,trigger0404,privilege0012
podrá hacerlo,trigger0385,privilege0013
Podrán contratar,trigger0009,privilege0014
podrá acordar,trigger0356,privilege0015
podrá acordar,trigger0356,privilege0016
podrá acordar,trigger0356,privilege0017
podrá establecer,trigger0377,privilege0018
podrá establecer,trigger0377,privilege0019
corresponderá,trigger0097,privilege0020
podrá acordarse,trigger0357,privilege0021
podrán solicitar,trigger0445,privilege0022
podrá suspenderse,trigger0418,privilege0023
podrán señalar,trigger0444,privilege0024
gozan de,trigger0262,privilege0025
convocada,trigger0093,privilege0026
podrá concertarse,trigger0367,privilege0027
podrán establecer,trigger0431,privilege0028
pueden pedir,trigger0476,privilege0029
pueden pedir,trigger0476,privilege0030
pueden pedir,trigger0476,privilege0031
pueden pedir,trigger0476,privilege0032
otorgar,trigger0346,privilege0033
otorgar,trigger0346,privilege0034
otorgar,trigger0346,privilege0035
podrá concertarse,trigger0367,privilege0036
podrá prorrogarse,trigger0396,privilege0037
podrá prorrogarse,trigger0396,privilege0038
podrá prorrogarse,trigger0396,privilege0039
podrá prorrogarse,trigger0396,privilege0040
podrá prorrogarse,trigger0396,privilege0041
podrá prorrogarse,trigger0396,privilege0042
podrá prorrogarse,trigger0396,privilege0043
podrá prorrogarse,trigger0396,privilege0044
gozarán de capacidad para obtener,trigger0264,privilege0045
podrá iniciarse,trigger0389,privilege0046
distribuir,trigger0194,privilege0047
podrá computarse,trigger0365,privilege0048
pactarse,trigger0347,privilege0049
concertarse,trigger0068,privilege0050
podrá extenderse,trigger0381,privilege0051
podrá extenderse,trigger0381,privilege0052
podrán acordar,trigger0424,privilege0053
podrá concertarse,trigger0367,privilege0054
podrán negociar,trigger0436,privilege0055
podrán someter,trigger0446,privilege0056
realizar durante el periodo de consultas,trigger0488,privilege0057
se podrán establecer,trigger0585,privilege0058
podrán adoptar,trigger0425,privilege0059
podrán regular,trigger0440,privilege0060
podrán establecer,trigger0431,privilege0061
elaborar,trigger0200,privilege0062
tendrán la condición de singularmente privilegiados,trigger0687,privilege0063
se podrá proceder,trigger0580,privilege0064
podrá acordar,trigger0356,privilege0065
se podrán determinar,trigger0583,privilege0066
se podrán determinar,trigger0583,privilege0067
podrá haber,trigger0384,privilege0068
podrán hacer uso,trigger0433,privilege0069
se podrá proceder,trigger0580,privilege0070
podrán negociar,trigger0436,privilege0071
tendrán,trigger0676,privilege0072
podrá disfrutarse,trigger0372,privilege0073
se podrá establecer,trigger0578,privilege0074
podrá regular,trigger0405,privilege0075
podrá ausentarse,trigger0362,privilege0076
podrá exigir,trigger0379,privilege0077
se aprueba,trigger0520,privilege0078
podrá establecer,trigger0377,privilege0079
podrá promoverse,trigger0395,privilege0080
podrá suspender,trigger0417,privilege0081
podrá reclamar,trigger0401,privilege0082
puede disponer,trigger0475,privilege0083
se podrá celebrar,trigger0576,privilege0084
Podrán promoverse,trigger0010,privilege0085
podrá facilitarse,trigger0383,privilege0086
gozarán,trigger0263,privilege0087
podrá ser acordada,trigger0408,privilege0088
podrá solicitar,trigger0413,privilege0089
disfrutará,trigger0191,privilege0090
podrá concertarse,trigger0367,privilege0091
podrá recabar,trigger0399,privilege0092
podrá tratarse,trigger0422,privilege0093
podrán optar,trigger0437,privilege0094
podrá realizar,trigger0397,privilege0095
podrá,trigger0355,privilege0096
podrá,trigger0355,privilege0097
podrá,trigger0355,privilege0098
podrá,trigger0355,privilege0099
podrá,trigger0355,privilege0100
podrá,trigger0355,privilege0101
podrán acordar,trigger0424,privilege0102
podrá establecerse,trigger0378,privilege0103
podrá anticipar,trigger0360,privilege0104
podrán disfrutarse,trigger0428,privilege0105
podrá celebrarse,trigger0363,privilege0106
podrá concertarse,trigger0367,privilege0107
solo será válido,trigger0643,privilege0108
podrá extinguirse,trigger0382,privilege0109
podrá recurrir,trigger0402,privilege0110
tendrá,trigger0651,privilege0111
podrán prever,trigger0438,privilege0112
podrá ser,trigger0407,privilege0113
podrá establecer,trigger0377,privilege0114
se podrá proceder,trigger0580,privilege0115
podrán disfrutar,trigger0427,privilege0116
podrán acordar,trigger0424,privilege0117
podrán optar,trigger0437,privilege0118
se podrán establecer,trigger0585,privilege0119
podrá realizarse,trigger0398,privilege0120
podrá disfrutar,trigger0371,privilege0121
se podrán articular,trigger0582,privilege0122
establecerse,trigger0215,privilege0123
podrá establecer,trigger0377,privilege0124
podrán identificar,trigger0434,privilege0125
