event_complement,event_complement_id,relation_id
particularidades específicas de cada una de las modalidades contractuales en materia de extinción del contrato y de aquellas expresamente previstas en la ley en relación con los contratos formativos,argument0731,right0010
medidas de conflicto colectivo,argument0635,right0013
plenos efectos,argument0766,right0021
tiempo de los servicios prestados,argument0921,right0022
registro salarial,argument0826,right0023
traslado justificado o injustificado,argument0961,right0024
derecho del trabajador,argument0362,right0025
disposiciones legales,argument0401,right0030
reglamentarias,argument0829,right0031
convenios colectivos,argument0306,right0032
sus taquillas,argument0909,right0033
efectos particulares,argument0418,right0034
informe,argument0534,right0037
"una adecuada protección en materia de seguridad y salud resultando de aplicación, en todo caso, lo establecido en la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y su normativa de desarrollo",argument0975,right0038
trabajo,argument0949,right0041
derechos,argument0365,right0042
deberes,argument0335,right0043
contrato,argument0283,right0044
cesación,argument0215,right0045
moneda de curso legal,argument0659,right0051
cheque,argument0218,right0052
modalidad de pago similar,argument0652,right0053
entidades de crédito,argument0469,right0054
informe al comité de empresa,argument0535,right0055
delegados de personal,argument0348,right0056
moneda de curso legal,argument0659,right0057
cheque,argument0218,right0058
modalidad de pago similar,argument0652,right0059
entidades de crédito,argument0469,right0060
informe al comité de empresa,argument0535,right0061
delegados de personal,argument0348,right0062
una hora de ausencia del trabajo,argument0978,right0067
dos fracciones,argument0409,right0068
cuidado del lactante,argument0330,right0069
nueve meses,argument0676,right0070
centro de trabajo,argument0211,right0071
condiciones de ejecución de la actividad laboral,argument0260,right0072
centro de trabajo,argument0211,right0073
condiciones de ejecución de la actividad laboral,argument0260,right0074
centro de trabajo,argument0211,right0075
condiciones de ejecución de la actividad laboral,argument0260,right0076
centro de trabajo,argument0211,right0077
condiciones de ejecución de la actividad laboral,argument0260,right0078
inobservando,argument0540,right0081
establecido,argument0476,right0082
apartado anterior,argument0153,right0083
empresario,argument0449,right0084
nuevo despido,argument0678,right0085
requisitos,argument0855,right0086
omitidos,argument0701,right0087
precedente,argument0768,right0088
dirección de la empresa,argument0388,right0095
relación de trabajo,argument0838,right0096
percepción puntual de la remuneración pactada o legalmente establecida,argument0735,right0097
locales,argument0606,right0098
certificaciones de los resultados electorales,argument0213,right0099
efectos,argument0417,right0101
lista de acreedores,argument0601,right0107
deudas de la masa,argument0379,right0108
conversión,argument0310,right0109
derecho a percibir,argument0359,right0113
a las que se refieren los párrafos anteriores,argument0115,right0114
a las que se refieren los párrafos anteriores,argument0115,right0115
comisión,argument0224,right0123
miembros,argument0646,right0124
sindicatos,argument0891,right0125
trabajadores,argument0933,right0128
convenios colectivos de sector,argument0307,right0130
condiciones de ejecución de la actividad laboral,argument0260,right0137
despido,argument0374,right0139
registro,argument0822,right0143
ampliaciones,argument0150,right0144
limitaciones,argument0599,right0145
especialidades,argument0473,right0146
trabajadores,argument0933,right0171
horas complementarias,argument0512,right0190
empresa,argument0445,right0201
un mínimo del diez por ciento de los miembros de los comités de empresa o delegados de personal en el ámbito geográfico y funcional al que se refiera el convenio,argument0973,right0213
Código de Trabajo,argument0010,right0219
las asociaciones empresariales,argument0577,right0232
un periodo de hasta cuatro semanas de su periodo de suspensión de disfrute no obligatorio,argument0974,right0236
empresas que ocupen menos de cien trabajadores,argument0460,right0237
derecho del trabajador,argument0362,right0241
