event_subject,event_object,event_complement,event_trigger,event_subject_type,event_object_type,event_subject_id,event_object_id,event_complement_id,event_trigger_id,relation_id
trabajador,,,podrá ausentarse,LegalAgent,LegalConcept,argument0925,,,trigger0362,right0001
personas,empresas usuarias,,serán,LegalAgent,LegalEntity,argument0755,argument0461,,trigger0624,right0002
trabajador,,,podrá reclamar,LegalAgent,LegalConcept,argument0925,,,trigger0401,right0003
También,,,tendrá derecho a recibir,LegalConcept,LegalConcept,argument0111,,,trigger0661,right0004
trabajadores a distancia,,,podrán ejercer,LegalAgent,LegalConcept,argument0934,,,trigger0430,right0005
empresario,,,podrá designar,LegalAgent,LegalConcept,argument0449,,,trigger0370,right0006
El Fondo de Garantía Salarial,,,tendrá la consideración de parte,LegalEntity,LegalConcept,argument0015,,,trigger0669,right0007
comité de empresa,,,tendrá derecho a ser informado,LegalEntity,LegalConcept,argument0231,,,trigger0662,right0008
Quien ejerza este derecho,,,podrá sustituirlo,LegalAgent,LegalConcept,argument0100,,,trigger0419,right0009
trabajadores con contratos temporales y de duración determinada,trabajadores con contratos de duración indefinida,particularidades específicas de cada una de las modalidades contractuales en materia de extinción del contrato y de aquellas expresamente previstas en la ley en relación con los contratos formativos,tendrán,LegalAgent,LegalAgent,argument0939,argument0938,argument0731,trigger0676,right0010
trabajadores,,,tendrán derecho,LegalAgent,LegalConcept,argument0933,,,trigger0677,right0011
acción protectora de la Seguridad Social,,,comprenderá,LegalConcept,LegalConcept,argument0121,,,trigger0063,right0012
trabajadores,derechos básicos,medidas de conflicto colectivo,tienen,LegalAgent,LegalConcept,argument0933,argument0366,argument0635,trigger0695,right0013
empresario,trabajador,,podrá optar,LegalAgent,LegalAgent,argument0449,argument0925,,trigger0392,right0014
Lo establecido en el párrafo anterior,,,será de aplicación,LegalConcept,LegalConcept,argument0079,,,trigger0614,right0015
la reserva de su puesto de trabajo,,,se extenderá,LegalConcept,LegalConcept,argument0575,,,trigger0560,right0016
"Todo sindicato, federación o confederación sindical, y toda asociación empresarial que reúna el requisito de legitimación",,,tendrá derecho a formar parte,LegalConcept,LegalConcept,argument0112,,,trigger0658,right0017
el otro,,,tendrá derecho al traslado,LegalAgent,LegalConcept,argument0430,,,trigger0666,right0018
trabajador,,,tendrá derecho,LegalAgent,LegalConcept,argument0925,,,trigger0652,right0019
comité de empresa,,,tendrá derecho,LegalEntity,LegalConcept,argument0231,,,trigger0652,right0020
contrato,,plenos efectos,producirá,LegalConcept,LegalConcept,argument0283,,argument0766,trigger0465,right0021
contrato,,tiempo de los servicios prestados,producirá,LegalConcept,LegalConcept,argument0283,,argument0921,trigger0465,right0022
personas trabajadoras,,registro salarial,tienen derecho a acceder,LegalAgent,LegalConcept,argument0758,,argument0826,trigger0699,right0023
sentencia,trabajador,traslado justificado o injustificado,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0961,trigger0178,right0024
sentencia,trabajador,derecho del trabajador,declarará,LegalConcept,LegalAgent,argument0888,argument0925,argument0362,trigger0178,right0025
trabajadores,,,Se considerará,LegalAgent,LegalConcept,argument0933,,,trigger0017,right0026
trabajador,,,tendrá derecho,LegalAgent,LegalConcept,argument0925,,,trigger0652,right0027
empresario,trabajador,,tendrá derecho a,LegalAgent,LegalAgent,argument0449,argument0925,,trigger0653,right0028
falta de pago o retrasos continuados,,,pueda solicitar,LegalConcept,LegalConcept,argument0495,,,trigger0474,right0029
derechos,,disposiciones legales,serán reconocidos,LegalConcept,LegalConcept,argument0365,,argument0401,trigger0633,right0030
derechos,,reglamentarias,serán reconocidos,LegalConcept,LegalConcept,argument0365,,argument0829,trigger0633,right0031
derechos,,convenios colectivos,serán reconocidos,LegalConcept,LegalConcept,argument0365,,argument0306,trigger0633,right0032
registros,persona del trabajador,sus taquillas,realizarse,LegalConcept,LegalAgent,argument0827,argument0749,argument0909,trigger0489,right0033
registros,persona del trabajador,efectos particulares,realizarse,LegalConcept,LegalAgent,argument0827,argument0749,argument0418,trigger0489,right0034
comité de empresa,,,estarán legitimados para negociar,LegalEntity,LegalConcept,argument0231,,,trigger0232,right0035
comité de empresa,,,tendrá derecho,LegalEntity,LegalConcept,argument0231,,,trigger0652,right0036
comité de empresa,,informe,tendrá derecho a emitir,LegalEntity,LegalConcept,argument0231,,argument0534,trigger0656,right0037
Los trabajadores a distancia,,"una adecuada protección en materia de seguridad y salud resultando de aplicación, en todo caso, lo establecido en la Ley 31/1995, de 8 de noviembre, de Prevención de Riesgos Laborales, y su normativa de desarrollo",tienen derecho a,LegalAgent,LegalConcept,argument0092,,argument0975,trigger0698,right0038
trabajador,,,tiene derecho a participar,LegalAgent,LegalConcept,argument0925,,,trigger0693,right0039
derecho al salario a comisión,,,nacerá,LegalConcept,LegalConcept,argument0360,,,trigger0294,right0040
representante legal,persona de capacidad limitada,trabajo,autoriza,LegalAgent,LegalAgent,argument0847,argument0748,argument0949,trigger0053,right0041
representante legal,persona de capacidad limitada,derechos,autoriza,LegalAgent,LegalAgent,argument0847,argument0748,argument0365,trigger0053,right0042
representante legal,persona de capacidad limitada,deberes,autoriza,LegalAgent,LegalAgent,argument0847,argument0748,argument0335,trigger0053,right0043
representante legal,persona de capacidad limitada,contrato,autoriza,LegalAgent,LegalAgent,argument0847,argument0748,argument0283,trigger0053,right0044
representante legal,persona de capacidad limitada,cesación,autoriza,LegalAgent,LegalAgent,argument0847,argument0748,argument0215,trigger0053,right0045
contrato de relevo,puesto de trabajo,,se ajustará,LegalConcept,LegalConcept,argument0285,argument0800,,trigger0516,right0046
contrato de relevo,trabajador relevista,,se ajustará,LegalConcept,LegalConcept,argument0285,argument0929,,trigger0516,right0047
contrato de relevo,trabajador sustituido,,se ajustará,LegalConcept,LegalConcept,argument0285,argument0930,,trigger0516,right0048
empresas,contratos en prácticas,,tendrán derecho,LegalEntity,LegalConcept,argument0456,argument0294,,trigger0677,right0049
empresas,trabajadores con discapacidad,,tendrán derecho,LegalEntity,LegalConcept,argument0456,argument0940,,trigger0677,right0050
empresario,salario,moneda de curso legal,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0659,trigger0375,right0051
empresario,salario,cheque,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0218,trigger0375,right0052
empresario,salario,modalidad de pago similar,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0652,trigger0375,right0053
empresario,salario,entidades de crédito,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0469,trigger0375,right0054
empresario,salario,informe al comité de empresa,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0535,trigger0375,right0055
empresario,salario,delegados de personal,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0878,argument0348,trigger0375,right0056
empresario,pago delegado de las prestaciones de la Seguridad Social,moneda de curso legal,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0722,argument0659,trigger0375,right0057
empresario,pago delegado de las prestaciones de la Seguridad Social,cheque,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0722,argument0218,trigger0375,right0058
empresario,pago delegado de las prestaciones de la Seguridad Social,modalidad de pago similar,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0722,argument0652,trigger0375,right0059
empresario,pago delegado de las prestaciones de la Seguridad Social,entidades de crédito,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0722,argument0469,trigger0375,right0060
empresario,pago delegado de las prestaciones de la Seguridad Social,informe al comité de empresa,podrá efectuarlo,LegalAgent,LegalConcept,argument0449,argument0722,argument0535,trigger0375,right0061
