event_subject,event_subject_type,event_subject_id,relation_id
trabajador,LegalAgent,argument0925,right0001
personas,LegalAgent,argument0755,right0002
trabajador,LegalAgent,argument0925,right0003
También,LegalConcept,argument0111,right0004
trabajadores a distancia,LegalAgent,argument0934,right0005
empresario,LegalAgent,argument0449,right0006
El Fondo de Garantía Salarial,LegalEntity,argument0015,right0007
comité de empresa,LegalEntity,argument0231,right0008
Quien ejerza este derecho,LegalAgent,argument0100,right0009
trabajadores con contratos temporales y de duración determinada,LegalAgent,argument0939,right0010
trabajadores,LegalAgent,argument0933,right0011
acción protectora de la Seguridad Social,LegalConcept,argument0121,right0012
trabajadores,LegalAgent,argument0933,right0013
empresario,LegalAgent,argument0449,right0014
Lo establecido en el párrafo anterior,LegalConcept,argument0079,right0015
la reserva de su puesto de trabajo,LegalConcept,argument0575,right0016
"Todo sindicato, federación o confederación sindical, y toda asociación empresarial que reúna el requisito de legitimación",LegalConcept,argument0112,right0017
el otro,LegalAgent,argument0430,right0018
trabajador,LegalAgent,argument0925,right0019
comité de empresa,LegalEntity,argument0231,right0020
contrato,LegalConcept,argument0283,right0021
contrato,LegalConcept,argument0283,right0022
personas trabajadoras,LegalAgent,argument0758,right0023
sentencia,LegalConcept,argument0888,right0024
sentencia,LegalConcept,argument0888,right0025
trabajadores,LegalAgent,argument0933,right0026
trabajador,LegalAgent,argument0925,right0027
empresario,LegalAgent,argument0449,right0028
falta de pago o retrasos continuados,LegalConcept,argument0495,right0029
derechos,LegalConcept,argument0365,right0030
derechos,LegalConcept,argument0365,right0031
derechos,LegalConcept,argument0365,right0032
registros,LegalConcept,argument0827,right0033
registros,LegalConcept,argument0827,right0034
comité de empresa,LegalEntity,argument0231,right0035
comité de empresa,LegalEntity,argument0231,right0036
comité de empresa,LegalEntity,argument0231,right0037
Los trabajadores a distancia,LegalAgent,argument0092,right0038
trabajador,LegalAgent,argument0925,right0039
derecho al salario a comisión,LegalConcept,argument0360,right0040
representante legal,LegalAgent,argument0847,right0041
representante legal,LegalAgent,argument0847,right0042
representante legal,LegalAgent,argument0847,right0043
representante legal,LegalAgent,argument0847,right0044
representante legal,LegalAgent,argument0847,right0045
contrato de relevo,LegalConcept,argument0285,right0046
contrato de relevo,LegalConcept,argument0285,right0047
contrato de relevo,LegalConcept,argument0285,right0048
empresas,LegalEntity,argument0456,right0049
empresas,LegalEntity,argument0456,right0050
empresario,LegalAgent,argument0449,right0051
empresario,LegalAgent,argument0449,right0052
empresario,LegalAgent,argument0449,right0053
empresario,LegalAgent,argument0449,right0054
empresario,LegalAgent,argument0449,right0055
empresario,LegalAgent,argument0449,right0056
empresario,LegalAgent,argument0449,right0057
empresario,LegalAgent,argument0449,right0058
empresario,LegalAgent,argument0449,right0059
empresario,LegalAgent,argument0449,right0060
empresario,LegalAgent,argument0449,right0061
empresario,LegalAgent,argument0449,right0062
comité de empresa,LegalEntity,argument0231,right0063
personal laboral fijo,LegalAgent,argument0754,right0064
Los extranjeros,LegalAgent,argument0088,right0065
comité de empresa,LegalEntity,argument0231,right0066
las personas trabajadoras,LegalAgent,argument0585,right0067
las personas trabajadoras,LegalAgent,argument0585,right0068
las personas trabajadoras,LegalAgent,argument0585,right0069
las personas trabajadoras,LegalAgent,argument0585,right0070
representantes legales,LegalAgent,argument0852,right0071
representantes legales,LegalAgent,argument0852,right0072
representantes legales,LegalAgent,argument0852,right0073
representantes legales,LegalAgent,argument0852,right0074
representantes legales,LegalAgent,argument0852,right0075
representantes legales,LegalAgent,argument0852,right0076
representantes legales,LegalAgent,argument0852,right0077
representantes legales,LegalAgent,argument0852,right0078
contrato de relevo,LegalConcept,argument0285,right0079
concurrencia de promotores,LegalConcept,argument0258,right0080
despido,LegalConcept,argument0374,right0081
despido,LegalConcept,argument0374,right0082
despido,LegalConcept,argument0374,right0083
despido,LegalConcept,argument0374,right0084
despido,LegalConcept,argument0374,right0085
despido,LegalConcept,argument0374,right0086
despido,LegalConcept,argument0374,right0087
despido,LegalConcept,argument0374,right0088
personas trabajadoras,LegalAgent,argument0758,right0089
convenio colectivo,LegalConcept,argument0302,right0090
trabajadores con discapacidad,LegalAgent,argument0940,right0091
despido,LegalConcept,argument0374,right0092
conflictos,LegalConcept,argument0265,right0093
trabajador,LegalAgent,argument0925,right0094
valoración de las faltas y las correspondientes sanciones,LegalConcept,argument0986,right0095
trabajadores,LegalAgent,argument0933,right0096
trabajadores,LegalAgent,argument0933,right0097
representación legal,LegalEntity,argument0846,right0098
oficina pública,LegalEntity,argument0700,right0099
trabajadores,LegalAgent,argument0933,right0100
calificación,LegalConcept,argument0186,right0101
comité de empresa,LegalEntity,argument0231,right0102
empresario,LegalAgent,argument0449,right0103
Gobierno,LegalEntity,argument0042,right0104
sindicatos de comunidad autónoma,LegalEntity,argument0892,right0105
trabajadores,LegalAgent,argument0933,right0106
organismo,LegalEntity,argument0703,right0107
organismo,LegalEntity,argument0703,right0108
compromisos,LegalConcept,argument0243,right0109
Operará la compensación y absorción,LegalConcept,argument0097,right0110
trabajador,LegalAgent,argument0925,right0111
comité de empresa,LegalEntity,argument0231,right0112
trabajador a distancia,LegalAgent,argument0926,right0113
Las medidas,LegalConcept,argument0070,right0114
Las medidas,LegalConcept,argument0070,right0115
El derecho,LegalConcept,argument0025,right0116
trabajador,LegalAgent,argument0925,right0117
trabajador,LegalAgent,argument0925,right0118
comité de empresa,LegalEntity,argument0231,right0119
trabajadores,LegalAgent,argument0933,right0120
representantes legales,LegalAgent,argument0852,right0121
vacante,LegalConcept,argument0985,right0122
empresario,LegalAgent,argument0449,right0123
empresario,LegalAgent,argument0449,right0124
empresario,LegalAgent,argument0449,right0125
convenio colectivo,LegalConcept,argument0302,right0126
trabajador,LegalAgent,argument0925,right0127
