event_subject,event_object,event_complement,event_trigger,event_subject_type,event_object_type,event_subject_id,event_object_id,event_complement_id,event_trigger_id
relaciones laborales de carácter especial,,,considerarán,LegalConcept,,argument0836,,,trigger0078
,,,,,,,,,
comisión representativa,,,constituirá,LegalConcept,,argument0228,,,trigger0082
trabajador,,,podrá ausentarse,LegalAgent,,argument0925,,,trigger0362
personas,empresas usuarias,,serán,LegalAgent,LegalEntity,argument0755,argument0461,,trigger0624
derechos y obligaciones,,,se regulan,LegalConcept,,argument0368,,,trigger0598
Duración del permiso de paternidad,,,,LegalConcept,,argument0013,,,
nuevo sistema,,,se aplicará,LegalConcept,,argument0680,,,trigger0518
Ministerio de Empleo y Seguridad Social,,,podrán extender,LegalEntity,,argument0094,,,trigger0432
,,,,,,,,,
empresario,,,podrá adoptar,LegalAgent,,argument0449,,,trigger0358
trabajador,,,podrá reclamar,LegalAgent,,argument0925,,,trigger0401
También,,,tendrá derecho a recibir,LegalConcept,,argument0111,,,trigger0661
trabajadores a distancia,,,podrán ejercer,LegalAgent,,argument0934,,,trigger0430
empresario,,,podrá designar,LegalAgent,,argument0449,,,trigger0370
El Fondo de Garantía Salarial,,,tendrá la consideración de parte,LegalEntity,,argument0015,,,trigger0669
partes,,,someter,LegalEntity,,argument0728,,,trigger0644
contrato a tiempo parcial,,,se regirá,LegalConcept,,argument0284,,,trigger0593
copia básica,,oficina de empleo,se enviará,LegalConcept,,argument0313,,argument0699,trigger0558
presidente de la mesa,empresario,acta de escrutinio,remitirá,LegalAgent,LegalAgent,argument0771,argument0449,argument0129,trigger0500
presidente de la mesa,interventores de las candidaturas,acta de escrutinio,remitirá,LegalAgent,LegalAgent,argument0771,argument0549,argument0129,trigger0500
presidente de la mesa,representantes electos,acta de escrutinio,remitirá,LegalAgent,LegalAgent,argument0771,argument0851,argument0129,trigger0500
comité de empresa,,,tendrá derecho a ser informado,LegalEntity,,argument0231,,,trigger0662
Quien ejerza este derecho,,,podrá sustituirlo,LegalAgent,,argument0100,,,trigger0419
empresa,trabajadores afectados,,deberá ofrecer,LegalAgent,LegalAgent,argument0445,argument0935,,trigger0134
trabajador,,medidas legales y reglamentarias de seguridad y salud en el trabajo,está obligado a observar,LegalAgent,,argument0925,,argument0637,trigger0240
autoridad laboral,,,estimase,LegalEntity,,argument0177,,,trigger0235
comunidad autónoma,,,no pudiera establecer,LegalEntity,,argument0250,,,trigger0325
contrato de trabajo,,,se extinguirá,LegalConcept,,argument0286,,,trigger0561
,,,,,,,,,
árbitros,,,deberán abstenerse,LegalAgent,,argument0999,,,trigger0151
,,,,,,,,,
,,,,,,,,,
partes,,,deberán recurrir,LegalAgent,,argument0728,,,trigger0167
trabajadores,,,tienen,LegalAgent,,argument0933,,,trigger0695
convenios colectivos,,,podrán regular,LegalConcept,,argument0306,,,trigger0440
,,,considerarán,,,,,,trigger0078
,,,mediarán,,,,,,trigger0293
contrato de relevo,trabajadores,,podrá concertar,LegalConcept,LegalAgent,argument0285,argument0933,,trigger0366
empresario,trabajador afectado,,deberá ser notificada,LegalAgent,LegalAgent,argument0449,argument0927,,trigger0147
empresario,representantes legales,,deberá ser notificada,LegalAgent,LegalAgent,argument0449,argument0852,,trigger0147
trabajadores con contratos temporales y de duración determinada,trabajadores con contratos de duración indefinida,particularidades específicas de cada una de las modalidades contractuales en materia de extinción del contrato y de aquellas expresamente previstas en la ley en relación con los contratos formativos,tendrán,LegalAgent,LegalAgent,argument0939,argument0938,argument0731,trigger0676
plazo de caducidad,solicitud de conciliación,"ante el órgano público de mediación, arbitraje y conciliación competente",quedará interrumpido,LegalConcept,LegalConcept,argument0762,argument0899,argument0151,trigger0478
procedimiento,,,será,LegalConcept,,argument0776,,,trigger0610
trabajadores,,,tendrán derecho,LegalAgent,,argument0933,,,trigger0677
jurisdicción social,,,fijará,LegalEntity,,argument0560,,,trigger0257
"sustituciones, revocaciones, dimisiones y extinciones de mandato",oficina pública,,comunicarán,LegalConcept,LegalEntity,argument0915,argument0700,,trigger0067
"sustituciones, revocaciones, dimisiones y extinciones de mandato",empresario,,comunicarán,LegalConcept,LegalEntity,argument0915,argument0449,,trigger0067
empresa,,,se podrá proceder,LegalAgent,,argument0445,,,trigger0580
acuerdos,,,tendrán,LegalConcept,,argument0139,,,trigger0676
empresa,,,garantizará,LegalAgent,,argument0445,,,trigger0261
no exista representación legal de los trabajadores,,,deberá formalizarse,LegalConcept,,argument0670,,,trigger0125
"empresa, centro de trabajo, unidad productiva",,,conservar,LegalEntity,,argument0448,,,trigger0071
trabajadores con discapacidad,,,prestar,LegalAgent,,argument0940,,,trigger0454
convenios colectivos,,,expresar,LegalConcept,,argument0306,,,trigger0251
,,,indicar,,,,,,trigger0283
Quienes,,,contratar,LegalConcept,,argument0101,,,trigger0091
Cada progenitor,,,disfrutar,LegalAgent,,argument0003,,,trigger0190
La negativa del trabajador,,,determinar,LegalAgent,,argument0061,,,trigger0186
El contrato de trabajo,,,suspenderse,LegalConcept,,argument0024,,,trigger0649
convenios,,,superará,LegalEntity,,argument0305,,,trigger0646
mesa electoral,,,cumplirá,LegalEntity,,argument0643,,,trigger0100
empresa,,,efectuará,LegalAgent,,argument0445,,,trigger0195
trabajadores,,,acogerán,LegalAgent,,argument0933,,,trigger0035
Gobierno,,,dictará,LegalEntity,,argument0042,,,trigger0189
