event_mention,event_subject,event_subject_id,event_subject_type,event_object,event_object_id,event_object_type,event_complement,event_complement_id,event_trigger,event_trigger_id,relation_type,relation_id
Se considerarán relaciones laborales de carácter especial Cualquier otro trabajo que sea expresamente declarado como relación laboral de carácter especial por una ley,relaciones laborales de carácter especial,argument0836,LegalConcept,,,,,,considerarán,trigger0078,Norelation,
"Mediante convenio colectivo o, en su defecto, contrato individual, se optará entre abonar las horas extraordinarias en la cuantía que se fije, que en ningún caso podrá ser inferior al valor de la hora ordinaria, o compensarlas por tiempos equivalentes de descanso retribuido",,,,,,,,,,,Norelation,
"En otro caso, a una comisión representativa que se constituirá de acuerdo con las siguientes reglas Si todos los centros de trabajo afectados por el procedimiento cuentan con representantes legales de los trabajadores, la comisión estará integrada por estos",comisión representativa,argument0228,LegalConcept,,,,,,constituirá,trigger0082,Duty,duty0001
"El trabajador, previo aviso y justificación, podrá ausentarse del trabajo, con derecho a remuneración, por alguno de los motivos y por el tiempo siguiente Un día por traslado del domicilio habitual",trabajador,argument0925,LegalAgent,,,,,,podrá ausentarse,trigger0362,Right,right0001
"A los efectos de esta ley, serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas",personas,argument0755,LegalAgent,empresas usuarias,argument0461,LegalEntity,,,serán,trigger0624,Right,right0002
Los derechos y obligaciones concernientes a la relación laboral se regulan Por los convenios colectivos,derechos y obligaciones,argument0368,LegalConcept,,,,,,se regulan,trigger0598,Duty,duty0002
"Duración del permiso de paternidad en los casos de nacimiento, adopción, guarda con fines de adopción o acogimiento hasta la entrada en vigor de la Ley 9/2009, de 6 de octubre",Duración del permiso de paternidad,argument0013,LegalConcept,,,,,,,,Norelation,
"En tanto no se produzca la total equiparación en los periodos de suspensión de ambos progenitores, y en el periodo de aplicación paulatina, el nuevo sistema se aplicará con las siguientes particularidades En el caso de nacimiento, el otro progenitor podrá seguir haciendo uso del periodo de suspensión inicialmente cedido por la madre biológica aunque, en el momento previsto para la reincorporación de la madre al trabajo, ésta se encuentre en situación de incapacidad temporal",nuevo sistema,argument0680,LegalConcept,,,,,,se aplicará,trigger0518,Duty,duty0003
"El Ministerio de Empleo y Seguridad Social, o el órgano correspondiente de las comunidades autónomas con competencia en la materia, podrán extender, con los efectos previstos en el artículo 82.3, las disposiciones de un convenio colectivo en vigor a una pluralidad de empresas y trabajadores o a un sector o subsector de actividad, por los perjuicios derivados para los mismos de la imposibilidad de suscribir en dicho ámbito un convenio colectivo de los previstos en este título III, debida a la ausencia de partes legitimadas para ello",Ministerio de Empleo y Seguridad Social,argument0094,LegalEntity,,,,,,podrán extender,trigger0432,Privilege,privilege0001
En las elecciones a miembros del comité de empresa la elección se ajustará a las siguientes reglas Dentro de cada lista resultarán elegidos los candidatos por el orden en que figuren en la candidatura,,,,,,,,,,,Norelation,
"El empresario podrá adoptar las medidas que estime más oportunas de vigilancia y control para verificar el cumplimiento por el trabajador de sus obligaciones y deberes laborales, guardando en su adopción y aplicación la consideración debida a su dignidad y teniendo en cuenta, en su caso, la capacidad real de los trabajadores con discapacidad",empresario,argument0449,LegalAgent,,,,,,podrá adoptar,trigger0358,Privilege,privilege0002
"En el caso de encomienda de funciones superiores a las del grupo profesional por un periodo superior a seis meses durante un año u ocho durante dos años, el trabajador podrá reclamar el ascenso, si a ello no obsta lo dispuesto en convenio colectivo o, en todo caso, la cobertura de la vacante correspondiente a las funciones por él realizadas conforme a las reglas en materia de ascensos aplicables en la empresa, sin perjuicio de reclamar la diferencia salarial correspondiente",trabajador,argument0925,LegalAgent,,,,,,podrá reclamar,trigger0401,Right,right0003
"También tendrá derecho a recibir información, al menos anualmente, relativa a la aplicación en la empresa del derecho de igualdad de trato y de oportunidades entre mujeres y hombres, en la que deberá incluirse el registro previsto en el artículo 28.2 y los datos sobre la proporción de mujeres y hombres en los diferentes niveles profesionales, así como, en su caso, sobre las medidas que se hubieran adoptado para fomentar la igualdad entre mujeres y hombres en la empresa y, de haberse establecido un plan de igualdad, sobre la aplicación del mismo",También,argument0111,LegalConcept,,,,,,tendrá derecho a recibir,trigger0661,Right,right0004
Los trabajadores a distancia podrán ejercer los derechos de representación colectiva conforme a lo previsto en esta ley,trabajadores a distancia,argument0934,LegalAgent,,,,,,podrán ejercer,trigger0430,Right,right0005
"Asimismo, el empresario podrá designar un representante suyo que asista a la votación y al escrutinio",empresario,argument0449,LegalAgent,,,,,,podrá designar,trigger0370,Right,right0006
"El Fondo de Garantía Salarial tendrá la consideración de parte en la tramitación de los procedimientos arbitrales, a efectos de asumir las obligaciones previstas en este artículo",El Fondo de Garantía Salarial,argument0015,LegalEntity,,,,,,tendrá la consideración de parte,trigger0669,Right,right0007
"Cuando el periodo de consultas finalice sin acuerdo y no fueran aplicables los procedimientos a los que se refiere el párrafo anterior o estos no hubieran solucionado la discrepancia, cualquiera de las partes podrá someter la solución de la misma a la Comisión Consultiva Nacional de Convenios Colectivos cuando la inaplicación de las condiciones de trabajo afectase a centros de trabajo de la empresa situados en el territorio de más de una comunidad autónoma, o a los órganos correspondientes de las comunidades autónomas en los demás casos",partes,argument0728,LegalEntity,,,,,,someter,trigger0644,Privilege,privilege0003
"El contrato a tiempo parcial se regirá por las siguientes reglas Cuando el contrato a tiempo parcial conlleve la ejecución de una jornada diaria inferior a la de los trabajadores a tiempo completo y esta se realice de forma partida, solo será posible efectuar una única interrupción en dicha jornada diaria, salvo que se disponga otra cosa mediante convenio colectivo",contrato a tiempo parcial,argument0284,LegalConcept,,,,,,se regirá,trigger0593,Duty,duty0004
"Posteriormente, dicha copia básica se enviará a la oficina de empleo",copia básica,argument0313,LegalConcept,,,,oficina de empleo,argument0699,se enviará,trigger0558,Duty,duty0005
"El presidente de la mesa remitirá copias del acta de escrutinio al empresario y a los interventores de las candidaturas, así como a los representantes electos",presidente de la mesa,argument0771,LegalAgent,empresario,argument0449,LegalAgent,acta de escrutinio,argument0129,remitirá,trigger0500,Duty,duty0006
"El presidente de la mesa remitirá copias del acta de escrutinio al empresario y a los interventores de las candidaturas, así como a los representantes electos",presidente de la mesa,argument0771,LegalAgent,interventores de las candidaturas,argument0549,LegalAgent,acta de escrutinio,argument0129,remitirá,trigger0500,Duty,duty0007
"El presidente de la mesa remitirá copias del acta de escrutinio al empresario y a los interventores de las candidaturas, así como a los representantes electos",presidente de la mesa,argument0771,LegalAgent,representantes electos,argument0851,LegalAgent,acta de escrutinio,argument0129,remitirá,trigger0500,Duty,duty0008
El comité de empresa tendrá derecho a ser informado trimestralmente Sobre la evolución general del sector económico a que pertenece la empresa,comité de empresa,argument0231,LegalEntity,,,,,,tendrá derecho a ser informado,trigger0662,Right,right0008
"La duración Quien ejerza este derecho, por su voluntad, podrá sustituirlo por una reducción de su jornada en media hora con la misma finalidad o acumularlo en jornadas completas en los términos previstos en la negociación colectiva o en el acuerdo a que llegue con la empresa respetando, en su caso, lo establecido en aquella",Quien ejerza este derecho,argument0100,LegalAgent,,,,,,podrá sustituirlo,trigger0419,Right,right0009
La empresa que lleve a cabo un despido colectivo que afecte a más de cincuenta trabajadores deberá ofrecer a los trabajadores afectados un plan de recolocación externa a través de empresas de recolocación autorizadas,empresa,argument0445,LegalAgent,trabajadores afectados,argument0935,LegalAgent,,,deberá ofrecer,trigger0134,Duty,duty0009
El trabajador está obligado a observar en su trabajo las medidas legales y reglamentarias de seguridad y salud en el trabajo,trabajador,argument0925,LegalAgent,,,,medidas legales y reglamentarias de seguridad y salud en el trabajo,argument0637,está obligado a observar,trigger0240,Duty,duty0010
"Si la autoridad laboral estimase que algún convenio conculca la legalidad vigente o lesiona gravemente el interés de terceros, se dirigirá de oficio a la jurisdicción social, la cual resolverá sobre las posibles deficiencias previa audiencia de las partes, conforme a lo establecido en la Ley 36/2011, de 10 de octubre, Reguladora de la Jurisdicción Social",autoridad laboral,argument0177,LegalEntity,,,,,,estimase,trigger0235,NoRelation,
"Si alguna comunidad autónoma no pudiera establecer una de sus fiestas tradicionales por no coincidir con domingo un suficiente número de fiestas nacionales podrá, en el año que así ocurra, añadir una fiesta más, con carácter de recuperable, al máximo de catorce",comunidad autónoma,argument0250,LegalEntity,,,,,,no pudiera establecer,trigger0325,NoRelation,
"El contrato de trabajo se extinguirá Por dimisión del trabajador, debiendo mediar el preaviso que señalen los convenios colectivos o la costumbre del lugar",contrato de trabajo,argument0286,LegalConcept,,,,,,se extinguirá,trigger0561,NoRelation,
"los contratos Lo dispuesto en este apartado no será de aplicación a la utilización de los contratos formativos, de relevo e interinidad, a los contratos temporales celebrados en el marco de programas públicos de empleo-formación, así como a los contratos temporales que sean utilizados por empresas de inserción debidamente registradas y el objeto de dichos contratos sea considerado como parte esencial de un itinerario de inserción personalizado",,,,,,,,,,,NoRelation,
"Los árbitros deberán abstenerse y, en su defecto, ser recusados, en los casos siguientes Tener relación de servicio con persona natural o jurídica interesada directamente en el asunto o haberle prestado en los últimos dos años servicios profesionales de cualquier tipo y en cualquier circunstancia o lugar",árbitros,argument0999,LegalAgent,,,,,,deberán abstenerse,trigger0151,Duty,duty0011
"Se consideran horas complementarias las realizadas como adición a las horas ordinarias pactadas en el contrato a tiempo parcial, conforme a las siguientes reglas Solo se podrá formalizar un pacto de horas complementarias en el caso de contratos a tiempo parcial con una jornada de trabajo no inferior a diez horas semanales en cómputo anual",,,,,,,,,,,Norelation,
"Se entenderá igualmente como despido colectivo la extinción de los contratos de trabajo que afecten a la totalidad de la plantilla de la empresa, siempre que el número de trabajadores afectados sea superior a cinco, cuando aquel se produzca como consecuencia de la cesación total de su actividad empresarial fundada en las mismas causas anteriormente señaladas",,,,,,,,,,,Norelation,
"Cuando no se hubiera solicitado la intervención de la comisión o esta no hubiera alcanzado un acuerdo, las partes deberán recurrir a los procedimientos que se hayan establecido en los acuerdos interprofesionales de ámbito estatal o autonómico, previstos en el artículo 83, para solventar de manera efectiva las discrepancias surgidas en la negociación de los acuerdos a que se refiere este apartado, incluido el compromiso previo de someter las discrepancias a un arbitraje vinculante, en cuyo caso el laudo arbitral tendrá la misma eficacia que los acuerdos en periodo de consultas y solo será recurrible conforme al procedimiento y en base a los motivos establecidos en el artículo 91.",partes,argument0728,LegalAgent,,,,,,deberán recurrir,trigger0167,Duty,duty0012
Los trabajadores tienen como deberes básicos Observar las medidas de prevención de riesgos laborales que se adopten,trabajadores,argument0933,LegalAgent,,,,,,tienen,trigger0695,Duty,duty0013
"Dentro del respeto a las leyes, los convenios colectivos podrán regular materias de índole económica, laboral, sindical y, en general, cuantas otras afecten a las condiciones de empleo y al ámbito de relaciones de los trabajadores y sus organizaciones representativas con el empresario y las asociaciones empresariales, incluidos procedimientos para resolver las discrepancias surgidas en los periodos de consulta previstos en los artículos 40, 41, 47 y 51; los laudos arbitrales que a estos efectos puedan dictarse tendrán la misma eficacia y tramitación que los acuerdos en el periodo de consultas, siendo susceptibles de impugnación en los mismos términos que los laudos dictados para la solución de las controversias derivadas de la aplicación de los convenios",convenios colectivos,argument0306,LegalConcept,,,,,,podrán regular,trigger0440,Privilege,privilege0004
Se considerarán incumplimientos contractuales La embriaguez habitual o toxicomanía si repercuten negativamente en el trabajo,,,,,,,,,considerarán,trigger0078,NoRight,noright0001
"Entre el final de una jornada y el comienzo de la siguiente mediarán, como mínimo, doce horas",,,,,,,,,mediarán,trigger0293,NoRight,noright0002
También se podrá concertar el contrato de relevo para sustituir a los trabajadores que se jubilen parcialmente después de haber cumplido la edad de jubilación ordinaria que corresponda conforme a lo establecido en el texto refundido de la Ley General de la Seguridad Social,contrato de relevo,argument0285,LegalConcept,trabajadores,argument0933,LegalAgent,,,podrá concertar,trigger0366,Privilege,privilege0005
La decisión de modificación sustancial de condiciones de trabajo de carácter individual deberá ser notificada por el empresario al trabajador afectado y a sus representantes legales con una antelación mínima de quince días a la fecha de su efectividad,empresario,argument0449,LegalAgent,trabajador afectado,argument0927,LegalAgent,,,deberá ser notificada,trigger0147,Duty,duty0014
La decisión de modificación sustancial de condiciones de trabajo de carácter individual deberá ser notificada por el empresario al trabajador afectado y a sus representantes legales con una antelación mínima de quince días a la fecha de su efectividad,empresario,argument0449,LegalAgent,representantes legales,argument0852,LegalAgent,,,deberá ser notificada,trigger0147,Duty,duty0015
