event_subject,event_object,event_complement,event_trigger,event_subject_type,event_object_type,event_subject_id,event_object_id,event_complement_id,event_trigger_id,relation_id
,,,considerarán,,,,,,trigger0078,noright0001
,,,mediarán,,,,,,trigger0293,noright0002
convenios,,,superará,LegalEntity,,argument0305,,,trigger0646,noright0003
empresas,,,se incurre,LegalEntity,,argument0456,,,trigger0570,noright0004
comité de empresa o por los delegados de personal,,,será presidida,LegalEntity,,argument0232,,,trigger0621,noright0005
arbitraje,,,perderá,LegalConcept,,argument0161,,,trigger0352,noright0006
"los títulos de grado, máster y, en su caso, doctorado, correspondientes a los estudios universitarios",,,no se considerarán,LegalConcept,,argument0621,,,trigger0326,noright0007
El acuerdo de inaplicación,,"las obligaciones establecidas en convenio relativas a la eliminación de las discriminaciones por razones de género o de las que estuvieran previstas, en su caso, en el plan de igualdad aplicable en la empresa",no podrá dar lugar,LegalConcept,,argument0019,,argument0583,trigger0309,noright0008
contratos temporales,,,presumirán,LegalConcept,,argument0298,,,trigger0458,noright0009
insolvencia del empresario,ejecución,créditos laborales,existe,LegalConcept,LegalConcept,argument0541,argument0420,argument0322,trigger0246,noright0010
coste,plan,,recaerá,LegalConcept,LegalConcept,argument0317,argument0759,,trigger0493,noright0011
contrato,,jornada completa,presumirá,LegalConcept,,argument0283,,argument0552,trigger0457,noright0012
empresario,representantes de los trabajadores,decisión sobre el despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0850,argument0343,trigger0304,noright0013
empresario,representantes de los trabajadores,procedimiento de despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0850,argument0779,trigger0304,noright0014
empresario,autoridad laboral,decisión sobre el despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0177,argument0343,trigger0304,noright0015
empresario,autoridad laboral,procedimiento de despido colectivo,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0177,argument0779,trigger0304,noright0016
contrato de trabajo,,,se extinguirá,LegalConcept,,argument0286,,,trigger0561,noright0017
promoción,denuncia,convenio colectivo,sea,LegalConcept,LegalConcept,argument0788,argument0357,argument0302,trigger0606,noright0018
empresa,,"aquellas informaciones específicas relacionadas con secretos industriales, financieros o comerciales",no estará obligada a comunicar,LegalAgent,,argument0445,,argument0160,trigger0301,noright0019
,,,Quedan derogadas,,,,,,trigger0012,noright0020
Los trabajadores,,,no será de aplicación,LegalAgent,,argument0091,,,trigger0328,noright0021
asociaciones empresariales,,,estarán comprendidas,LegalEntity,,argument0170,,,trigger0228,noright0022
trabajadores,,,realizar,LegalAgent,,argument0933,,,trigger0487,noright0023
empresa,,,no podrá comprenderse,LegalAgent,,argument0445,,,trigger0308,noright0024
personas prestadoras del servicio de transporte,,,se entenderá excluida,LegalAgent,,argument0757,,,trigger0552,noright0025
retribución,,,podrá ser,LegalConcept,,argument0869,,,trigger0407,noright0026
empresa,,,realice traslados,LegalAgent,,argument0445,,,trigger0485,noright0027
Los trabajos familiares,,,excluyen,LegalConcept,,argument0093,,,trigger0244,noright0028
El contrato de trabajo,,causas objetivas legalmente procedentes,se extinguirá,LegalConcept,,argument0024,,argument0206,trigger0561,noright0029
situaciones,,incapacidad temporal,no interrumpirán,LegalConcept,,argument0897,,argument0521,trigger0306,noright0030
situaciones,,riesgo durante el embarazo,no interrumpirán,LegalConcept,,argument0897,,argument0872,trigger0306,noright0031
situaciones,,maternidad,no interrumpirán,LegalConcept,,argument0897,,argument0629,trigger0306,noright0032
situaciones,,adopción,no interrumpirán,LegalConcept,,argument0897,,argument0144,trigger0306,noright0033
situaciones,,guarda con fines de adopción,no interrumpirán,LegalConcept,,argument0897,,argument0509,trigger0306,noright0034
situaciones,,acogimiento,no interrumpirán,LegalConcept,,argument0897,,argument0124,trigger0306,noright0035
situaciones,,riesgo durante la lactancia,no interrumpirán,LegalConcept,,argument0897,,argument0873,trigger0306,noright0036
situaciones,,paternidad,no interrumpirán,LegalConcept,,argument0897,,argument0732,trigger0306,noright0037
situaciones,,cómputo,no interrumpirán,LegalConcept,,argument0897,,argument0333,trigger0306,noright0038
situaciones,,duración,no interrumpirán,LegalConcept,,argument0897,,argument0410,trigger0306,noright0039
situaciones,,contrato,no interrumpirán,LegalConcept,,argument0897,,argument0283,trigger0306,noright0040
salarios profesionales,,,no afectará,LegalEntity,,argument0883,,,trigger0297,noright0041
revocación,,,no podrá efectuarse,LegalConcept,,argument0871,,,trigger0310,noright0042
empresario,representantes de los trabajadores,su decisión sobre la suspensión de contratos,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0850,argument0902,trigger0304,noright0043
empresario,autoridad laboral,su decisión sobre la suspensión de contratos,no hubiera comunicado,LegalAgent,LegalAgent,argument0449,argument0177,argument0902,trigger0304,noright0044
falta de constitución de la comisión representativa,,,no impedirá,LegalConcept,,argument0494,,,trigger0305,noright0045
inobservancia de cualquiera de las reglas anteriores,elección del candidato o candidatos afectados,,determinará,LegalConcept,LegalConcept,argument0539,argument0442,,trigger0187,noright0046
despido,,,Será nulo,LegalConcept,,argument0374,,,trigger0022,noright0047
"preceptos reglamentarios, cláusulas de los convenios colectivos, pactos individuales y decisiones unilaterales del empresario",,,entenderán nulos y sin efecto,LegalConcept,,argument0769,,,trigger0208,noright0048
excepción,,,no abarca,LegalConcept,,argument0485,,,trigger0296,noright0049
interposición del conflicto,,,paralizará,LegalConcept,,argument0545,,,trigger0349,noright0050
contrato de trabajo,,,se extinguirá,LegalConcept,,argument0286,,,trigger0561,noright0051
asociaciones empresariales de comunidad autónoma,,,estar representadas,LegalEntity,,argument0171,,,trigger0218,noright0052
trabajo,,,excluyen,LegalConcept,,argument0949,,,trigger0244,noright0053
trabajadores,,,no podrán realizar,LegalAgent,,argument0933,,,trigger0322,noright0054
acuerdos y convenios colectivos,,artículo 83.2,no podrán disponer,LegalConcept,,argument0142,,argument0164,trigger0320,noright0055
trabajador,,,No cabrá invocar,LegalAgent,,argument0925,,,trigger0007,noright0056
empresario,,,no podrá ser tomada,LegalAgent,,argument0449,,,trigger0318,noright0057
contrato de trabajo,,,extinguirse,LegalConcept,,argument0286,,,trigger0253,noright0058
empresario,trabajadores,,supongan un trato desfavorable,LegalAgent,LegalAgent,argument0449,argument0933,,trigger0647,noright0059
Estos acuerdos y laudos,,,serán susceptibles de impugnación,LegalConcept,,argument0038,,,trigger0639,noright0060
Un trabajo,otro,,tendrá igual valor,LegalConcept,LegalConcept,argument0113,argument0712,,trigger0668,noright0061
La regulación de las condiciones establecidas en un convenio de empresa,,,tendrá prioridad aplicativa,LegalConcept,,argument0065,,,trigger0671,noright0062
contrato de trabajo,,,podrá suspenderse,LegalConcept,,argument0286,,,trigger0418,noright0063
elecciones a miembros del comité de empresa,,,se ajustará,LegalConcept,,argument0438,,,trigger0516,noright0064
el ejercicio de la acción contra el despido o resolución de contratos temporales,,,caducará,LegalConcept,,argument0426,,,trigger0057,noright0065
lo dispuesto,,,no será de aplicación,LegalConcept,,argument0605,,,trigger0328,noright0066
empresa,,,coincida,LegalAgent,,argument0445,,,trigger0061,noright0067
,,,prohíbe realizar,,,,,,trigger0467,noright0068
empresario,,,impidiese,LegalAgent,,argument0449,,,trigger0280,noright0069
pacto,,,Será nulo,LegalConcept,,argument0718,,,trigger0022,noright0070
contrato de trabajo,,,se extinguirá,LegalConcept,,argument0286,,,trigger0561,noright0071
,,,interrumpirán,,,,,,trigger0287,noright0072
beneficios,,,no serán de aplicación,LegalConcept,,argument0181,,,trigger0330,noright0073
trabajadores menores de dieciocho años,,,no podrán realizar,LegalAgent,,argument0945,,,trigger0322,noright0074
plazo,,ejercicio de las acciones ejecutivas,se interrumpirá,LegalConcept,,argument0761,,argument0422,trigger0572,noright0075
plazo,,reconocimiento del crédito,se interrumpirá,LegalConcept,,argument0761,,argument0815,trigger0572,noright0076
decisión extintiva,,,será nula,LegalConcept,,argument0340,,,trigger0620,noright0077
empresa,,,se considerará,LegalAgent,,argument0445,,,trigger0530,noright0078
límite de edad y de duración,,,no será de aplicación,LegalConcept,,argument0624,,,trigger0328,noright0079
,,,prohíbe,,,,,,trigger0466,noright0080
trabajadores menores de dieciocho años,,,no podrán realizar,LegalAgent,,argument0945,,,trigger0322,noright0081
trabajador,,,no podrá ser despedido,LegalAgent,,argument0925,,,trigger0316,noright0082
empresario solicitante,,,quedará exonerado,LegalAgent,,argument0451,,,trigger0477,noright0083
salario en especie,percepciones salariales del trabajador,cuantía íntegra en dinero del salario mínimo interprofesional,podrá superar,LegalConcept,LegalConcept,argument0879,argument0734,argument0329,trigger0415,noright0084
despido,personas trabajadoras,,nulo,LegalConcept,LegalAgent,argument0374,argument0758,,trigger0335,noright0085
contrato,,,podrá extinguirse,LegalConcept,,argument0283,,,trigger0382,noright0086
supuestos de trabajos discontinuos,,,les será de aplicación,LegalConcept,,argument0908,,,trigger0291,noright0087
contrato de trabajo,,tiempo convenido,se extinguirá,LegalConcept,,argument0286,,argument0920,trigger0561,noright0088
contrato de trabajo,,realización de la obra o servicio,se extinguirá,LegalConcept,,argument0286,,argument0813,trigger0561,noright0089
decisión extintiva del empresario,,,será nula,LegalEntity,,argument0341,,,trigger0620,noright0090
no concesión del preaviso o el error excusable en el cálculo de la indemnización,,,no determinará,LegalConcept,,argument0669,,,trigger0299,noright0091
empresa,,documento,podrá ser utilizado,LegalAgent,,argument0445,,argument0408,trigger0412,noright0092
abono de las retribuciones periódicas y regulares,,,no podrá exceder,LegalConcept,,argument0117,,,trigger0311,noright0093
salario mínimo interprofesional,,,es,LegalConcept,,argument0880,,,trigger0213,noright0094
